fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
13e13d87b6cb29864a12eb44ce2998dacf8faf49,93dd9641bb0019ffa6315414522ca79e70a6c207,0,1,1,1,1,10
2b37656204d3a4c541af6e1c0da62806a40ffdbf,1bc0926b2481cfe6e010b831b0a8c29b51812bad,0,1,1,1,1,94
e343629fc2f011df1a9504f6d8166d4f6ba20c88,1bc0926b2481cfe6e010b831b0a8c29b51812bad,0,1,1,1,2,94
e5e5a11270cef44c1b36b4089cca5b54987bda53,9fdc075ea02c43705a1bdccad46ddd217711cd00,0,1,1,1,1,193
2cc76fbdc29f29dbfc548b2e109dc25f04b49f2b,5a1be923d8d6dd9977e50f466cd5e68e45668553,0,1,1,1,7,6
0655b95faf42395975b6a0a4caf232965c4b13aa,a7ae941023772b90e6c4cf57541943245d4ba5af,0,1,0,0,4,1760
0655b95faf42395975b6a0a4caf232965c4b13aa,2028d43b0fe15b77d7494c6ff8d07f987487e82b,0,0,1,1,2832,2603
ede0a362092ff30cb695f393e708587ed0965ce1,0655b95faf42395975b6a0a4caf232965c4b13aa,0,1,1,1,1,41
91bdaa495f4a85d0e13809a7b75cbb63350ee79b,022edfce26671c6fd0f9190d0b90e5d4117fc92d,1,1,1,1,1,348
d5f41c61b3bb5f94eefa363ec5fce998df506f4d,fc37273efdccefbf0113546f2d18e7bde83fdd17,0,1,1,1,1,17
359599f120d18fb49408017fdc91a153a3b5e31e,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,1,27
4b715527d06b719bba9db4f4c1a109da962974cd,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,2,27
d487c9fc3668e1a31c5da003dd7fb2420ee3eef6,4b715527d06b719bba9db4f4c1a109da962974cd,0,1,1,1,1,2
708f979092ae6fa44e4ac88451be1a95e4415d48,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,5,27
fc26c4b5da42c6fa8051cc68352b6d253b95fe38,61eb7f637c209b6ea0f458300bb3674cea29ee87,1,1,0,1,1,15
fc26c4b5da42c6fa8051cc68352b6d253b95fe38,dda34cbcdb4282ed34b79717fc4c2d22f23800d0,1,0,1,0,4,7
1937349eb5dda69414b7d52e34ed81a3c09dc20c,3145dcee734d4b1030c73d3f9556cdf526170e50,1,1,1,1,1,174
91f0861429231a107a534712bd1840000e72b809,35283f4fd1f455cd17b8f04f97d20b389e9183e0,0,1,0,0,4,18
91f0861429231a107a534712bd1840000e72b809,b535b0b2499d68d5a09858414b189b4bdd310d17,0,0,1,1,5,31
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,425173a4bef4ca58b0c065b9f2c1b02cde3067ce,0,0,1,1,16245,154645
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,579f6da003d703619fcfc1a53f9c0eed74970b15,1,0,0,0,2,6
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,b314bb3d04db82e1e58ef12bfca3d06393288fd0,1,0,0,0,3,183
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,122a7baa48fac12b00f24800373d0c0f9853cbdc,0,1,0,0,1,148
71fc4acd95a044698d1b7f1c4f9f705388141eec,779116a1c3e7a1a9a94619688ed28faffc58d283,0,1,0,0,2,68
71fc4acd95a044698d1b7f1c4f9f705388141eec,162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,0,0,0,0,12,72
71fc4acd95a044698d1b7f1c4f9f705388141eec,66eccc7375efb306b5b8cd3a7caed3bb63b8b91c,1,0,1,1,78,122
b81c7af1a31422e834b95f2acb1f3a9b516bfe67,4b60010300f2d8c0b6ec453e5f725d4de6c3a2ee,0,0,1,1,428,280
b81c7af1a31422e834b95f2acb1f3a9b516bfe67,22b913bcf247c17ad6a4bdb5ea3b8cc023bb3b66,1,1,0,0,3,43
a8cd8206bd34eaa59148ae6a320dc0c7d1c6d406,939db2b3bc9a3eb16d979bb824b814773973e63c,0,1,1,1,1,27
29fcb22898236ac294e4c798f19216c05a0f74e0,fa106dabe45dd081a5594c4392a3d85d1738b7fa,0,1,1,1,1,40
f306089e369d15ebdbf6a7b39c9f451fc83938c0,abf3815b0f198adeabdac79bdf30a469583bccc3,0,1,1,1,3,137
e1ecd2840c270962dee02968c002674937fc2aa4,c124496c1d55e1267b366e432289f4ad3d9b8ae6,0,1,1,1,6,17
