fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
7250ab42b0a0f38fd5e142ddcd007ff10216ed0c,f45b79af2bbde51791bbc8bc371585f1448ff8ce,1,1,1,1,1,1
07551e67040895e7fda3b5af0ee90a6f7a20f0bd,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,1,1,1,31,5
a06ec3b1b924aaf0613367ebaa56330e6054cac2,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,53,46
a06ec3b1b924aaf0613367ebaa56330e6054cac2,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,1,0,0,32,5
267f28cf5209e2e43ae46237152c1461edb5af08,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,1,0,0,1,11
267f28cf5209e2e43ae46237152c1461edb5af08,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,56,46
267f28cf5209e2e43ae46237152c1461edb5af08,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,35,5
35426ffc2031fb634c094457c81ea68b94954e13,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,1,0,0,2,11
35426ffc2031fb634c094457c81ea68b94954e13,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,57,46
35426ffc2031fb634c094457c81ea68b94954e13,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,36,5
4d097df0748159e8ce0bdcf4f994f491e523fc64,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,1,0,0,4,11
4d097df0748159e8ce0bdcf4f994f491e523fc64,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,59,46
4d097df0748159e8ce0bdcf4f994f491e523fc64,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,38,5
46007f46140b010e1a1db17e2c46423d66d76261,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,1,0,0,5,11
46007f46140b010e1a1db17e2c46423d66d76261,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,60,46
46007f46140b010e1a1db17e2c46423d66d76261,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,39,5
198e1a75ab39bb79274b200f0e7ef9b86ab1b994,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,1,0,0,6,11
198e1a75ab39bb79274b200f0e7ef9b86ab1b994,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,61,46
198e1a75ab39bb79274b200f0e7ef9b86ab1b994,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,40,5
24edc5265a4f5aea587c110b2ebed02d13067647,26a6dda5c531542d653fc684414b5530dd3d5ec7,1,0,0,0,9,11
24edc5265a4f5aea587c110b2ebed02d13067647,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,64,46
24edc5265a4f5aea587c110b2ebed02d13067647,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,43,5
24edc5265a4f5aea587c110b2ebed02d13067647,ed5be860ba51d51adf77e41caa43bd7ef1eebacc,1,1,0,0,1,2
1f51ce879ac73524ebf49a2752aedc235138553c,ed5be860ba51d51adf77e41caa43bd7ef1eebacc,1,1,0,0,2,2
1f51ce879ac73524ebf49a2752aedc235138553c,dca502e227ec048590fe6aeebd1be7ab2c194720,1,0,1,1,65,46
1f51ce879ac73524ebf49a2752aedc235138553c,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,0,0,44,5
141f1087628a5b9be937af55e798938e1d47abd1,ed5be860ba51d51adf77e41caa43bd7ef1eebacc,1,1,0,0,3,2
141f1087628a5b9be937af55e798938e1d47abd1,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,0,1,1,45,5
fbb91ca5bb5082988cb3eb1d02097cfe7bb77bb0,1df5143934007e09575dacaec95cc7367a9a2768,0,1,1,1,1,17
