fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
a2d882aba9095bcd210fd956216f764fa3637eee,53b100dd4a64f037e50613609930cbd057497ac4,0,0,0,0,524,70
a2d882aba9095bcd210fd956216f764fa3637eee,30292d1e20e9c871b104ee8c8280885b01179e08,0,0,0,0,449,22
a2d882aba9095bcd210fd956216f764fa3637eee,52976d76babd2371198313f29da00bf711046686,0,0,0,0,777,136
a2d882aba9095bcd210fd956216f764fa3637eee,04cd8f067be320b3df3a732a2ab6b1a9909d9962,1,0,0,0,177,4
a2d882aba9095bcd210fd956216f764fa3637eee,1edaed4f016d8e981ff6eb1c745e59180e0a01c6,0,0,0,0,489,52
a2d882aba9095bcd210fd956216f764fa3637eee,d111543e320e3b540172454f3cb39ba17ff80ef9,0,0,0,0,534,177
a2d882aba9095bcd210fd956216f764fa3637eee,505a0fba05d87483b75e61529c3729de29cdc59a,0,0,0,0,645,2
a2d882aba9095bcd210fd956216f764fa3637eee,76b63ad9c34a24ec6d3187cace0cf3088e55e6ba,0,0,0,0,391,6
a2d882aba9095bcd210fd956216f764fa3637eee,accfe19dea9ed3cc4086859ab79cc65ec58bf377,0,0,0,0,561,6
a2d882aba9095bcd210fd956216f764fa3637eee,1f89aa83ac22e65681b0bb3d51a8a49fc0285d5b,0,0,0,0,76,87
a2d882aba9095bcd210fd956216f764fa3637eee,007188fa4ec2c92bc6ea77dbc165ca9603dd4c13,1,0,0,0,552,56
a2d882aba9095bcd210fd956216f764fa3637eee,268806ba91664e37b847e34bf7489b9de7e223f2,0,0,0,0,1093,187
a2d882aba9095bcd210fd956216f764fa3637eee,b84b3853a5a00edb109716d5d7bffea4739a681a,0,0,0,0,706,36
a2d882aba9095bcd210fd956216f764fa3637eee,899eb6e6ba4af50be988cc67a5e958a30b7c11bd,0,0,0,0,291,1205
a2d882aba9095bcd210fd956216f764fa3637eee,002cc45fb6a1c30c7fa37cadb21ecd5aca8eeb04,0,0,0,0,233,54
a2d882aba9095bcd210fd956216f764fa3637eee,310c5f01cb7a644d59bd407563fe29845f37d0b6,0,0,0,0,357,385
a2d882aba9095bcd210fd956216f764fa3637eee,9b3fbf1cebf95acc9d93a9c3695a70c5a997c8d8,0,0,0,0,527,190
a2d882aba9095bcd210fd956216f764fa3637eee,7d40455abb331e254ea636c9fa8f3dfb6dc2e8c5,1,0,0,0,550,100
a2d882aba9095bcd210fd956216f764fa3637eee,9624eb0e87f36c905df5b74c8e3c769bfcf62410,0,0,0,0,606,3745
a2d882aba9095bcd210fd956216f764fa3637eee,e62ddce3077231425b0390edc5d097e938053637,0,0,0,0,954,253
a2d882aba9095bcd210fd956216f764fa3637eee,6431585f8ccc27c905691730de27a94954cbc995,0,0,0,1,104,282514
a2d882aba9095bcd210fd956216f764fa3637eee,30409e19c807551c05e65fe014529ce4588bd18e,0,0,0,0,373,4
a2d882aba9095bcd210fd956216f764fa3637eee,337354d8298cbc399be19404e8f93a1cacbeea23,0,0,0,0,112,102
a2d882aba9095bcd210fd956216f764fa3637eee,77c9a4f5c39532c192a7ab435071c7805b660e1d,0,0,0,0,350,36
a2d882aba9095bcd210fd956216f764fa3637eee,4e9a6e44dd997febeccc12eb9c1cf0282321f1d8,0,0,0,0,21,33
a2d882aba9095bcd210fd956216f764fa3637eee,7853eb2984ad2583fa2d3203bde17d288b576bfc,0,0,0,0,521,262
a2d882aba9095bcd210fd956216f764fa3637eee,a48344aeeb9561a1b621c984b2613f14df65b8f8,0,0,0,0,313,12
a2d882aba9095bcd210fd956216f764fa3637eee,a1b06b0477606c68b7615bc0b51095d8505e5b99,1,0,0,0,469,148
a2d882aba9095bcd210fd956216f764fa3637eee,795c5716a3f007fe830ea3bd178c09a55548b0bb,0,0,0,0,575,177
a2d882aba9095bcd210fd956216f764fa3637eee,f170d452b95283c33219db16ec8b33b4cf02902d,0,0,0,0,341,156
a2d882aba9095bcd210fd956216f764fa3637eee,877f524a0ee648787cf27c275a1eda1d26493009,0,0,0,0,780,2
a2d882aba9095bcd210fd956216f764fa3637eee,c221d94e1a0dfea27453ea6f3ea7dc3a5253ccfe,0,0,0,0,74,117
a2d882aba9095bcd210fd956216f764fa3637eee,1a2fe3be0d80535dd0360c56d932bc70f27497d2,1,0,0,0,302,58
a2d882aba9095bcd210fd956216f764fa3637eee,19ab911a6e876c5170e94594179bbac901dc5437,0,0,0,0,440,191
a2d882aba9095bcd210fd956216f764fa3637eee,ccbb4a01d34e36f0e92b4aeccd15d95155b2a2d5,0,0,0,0,135,88
a2d882aba9095bcd210fd956216f764fa3637eee,92384fd17229afb61bef65245db90b1f43bc6852,0,0,0,0,1018,1785
a2d882aba9095bcd210fd956216f764fa3637eee,2df09169de5615ea8707dc8ec6c54e7d7fe5ca19,0,0,0,0,187,140
a2d882aba9095bcd210fd956216f764fa3637eee,e3bae179ec0a0b7c318c92f40df1baf562760d73,0,0,0,0,105,149
a2d882aba9095bcd210fd956216f764fa3637eee,b604409aacdbfbd966fa60a9b3472bb013f2ca4a,0,0,0,0,119,6
a2d882aba9095bcd210fd956216f764fa3637eee,3320a62a7e9ffb58147b83ff491f7cf3f0e39238,1,0,0,0,88,33
a2d882aba9095bcd210fd956216f764fa3637eee,e63abd225d92019c91b1bfda1c2f75de361a7df6,0,0,0,0,136,75
a2d882aba9095bcd210fd956216f764fa3637eee,e9620d93049cf26b6fef7cf6dd504514057136ac,0,0,0,0,97,2
a2d882aba9095bcd210fd956216f764fa3637eee,f1af316d78cb09fd707a3b8a6608fe96678a5ca7,0,0,0,0,365,2
a2d882aba9095bcd210fd956216f764fa3637eee,c626cf69aa3bac81ade9a6b4ccbd4f9d83e19566,0,0,0,0,669,239
a2d882aba9095bcd210fd956216f764fa3637eee,5d680a827f985b0ea4bf563a4c97de5d9a6ee233,0,0,0,0,452,43
a2d882aba9095bcd210fd956216f764fa3637eee,9f17ba3bae74288886dd9660cdc8ae922a9223fd,0,0,0,0,465,280
a2d882aba9095bcd210fd956216f764fa3637eee,3da866a6a6fdcd52d9efbe3bdb87b8f7e4b7f3bc,0,0,0,0,877,343
a2d882aba9095bcd210fd956216f764fa3637eee,c7c3944ffeed2ec5588391df91f28f26cbf04265,0,0,0,0,347,4
a2d882aba9095bcd210fd956216f764fa3637eee,5267d90d46fc402e818bcb8e9638ec2ac08b1a1c,0,0,0,0,318,107
a2d882aba9095bcd210fd956216f764fa3637eee,c4c4db151a33b858b5fa2fc9b5fdae981fb9fac7,0,0,0,0,344,4
a2d882aba9095bcd210fd956216f764fa3637eee,1230c6aae432c7de51029055942c0ccec9b263fe,0,0,0,0,528,22
a2d882aba9095bcd210fd956216f764fa3637eee,5beeb30a1ee2cc65015ffd28c1f7e2e743c8a37e,0,0,0,0,35,7
a2d882aba9095bcd210fd956216f764fa3637eee,e8244b688b9cb8b32abb824f4de8fd932fc758a4,0,0,0,0,481,10
