fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
3faf12cd8603e3efbcc7e570e07dfd1ea2a17095,7056d423f16103f6700569f60ca842d91bfaabab,1,1,1,1,51638,187
db6aaf4d55f95dcb6b162c3a59b56eb1e85ccdfe,e7792ce2da5ded80861db787ace9b57ecf7bc96c,0,1,1,1,49980,915
c424be1cbbf852e46acc84d73162af3066cd2c86,6927c1dd93fc982140f3a3742ac4b224cd3e02b2,0,0,1,1,237964,41
c424be1cbbf852e46acc84d73162af3066cd2c86,ff6a6da60b894d008f704fbeb5bc596f9994b16e,0,1,0,0,55073,36
c05995c3d7d0d8edda6ecd2855ac5fad15fa4723,3aa2ae74ba630ec9b98736d64aea8e4cb490861d,0,1,0,0,11948,18
c05995c3d7d0d8edda6ecd2855ac5fad15fa4723,1fcb57d0f6e1150003d222051aaaf4bc4a9ccc94,0,0,0,0,12433,83
c05995c3d7d0d8edda6ecd2855ac5fad15fa4723,1e7fe1a9253f3b66dc4013e40bd5d72415af0835,0,0,1,1,35097,753
570637dc8eeb2faba06228d497ff40bb019bcc93,620ae90ed8ca8b6e40cb9e10279b4f5ef9f0ab81,0,1,1,1,1,4
f6537f2f0eba4eba3354e48dbe3047db6d8b6254,41f11a4fa378201e902892130b11d78cf7cf8e10,0,1,1,1,400463,76
9705e74671f0e4f994d86b00cecf441917c64a66,fff147208b48680cb7b627a144113a6585828a0e,0,1,1,1,316131,149
f8b13505607823bb9a212eb9410669ecf2bc2615,d3a73acbc26a4a81a01a35fd162973e53d0386f5,0,1,0,0,8560,299
f8b13505607823bb9a212eb9410669ecf2bc2615,146e4b3c8b92071b18f0b2e6f47165bad4f9e825,0,0,1,0,365608,390
f8b13505607823bb9a212eb9410669ecf2bc2615,a0616cdebcfd575dcd4c46102d1b52fbb827fc29,0,0,0,1,156354,704
f8b13505607823bb9a212eb9410669ecf2bc2615,beef560b4cdfafb2211a856e1d722540f5151933,0,0,0,0,8561,76
f8b13505607823bb9a212eb9410669ecf2bc2615,6252d702c5311ce916caf75ed82e5c8245171c92,0,0,0,0,365606,306
f8b13505607823bb9a212eb9410669ecf2bc2615,53e857f30867918b3618d8e18902e63291946ef4,1,0,0,0,23894,119
cf3beb7c90a8efa16a06b26634cddddc92bb819c,c5cc2cd906ea9fe73e3c93f9ad824996faa278cc,0,0,1,1,301106,107
cf3beb7c90a8efa16a06b26634cddddc92bb819c,e9d7f7cd97c45e2c612d3b38be05b4cfb27939ee,0,1,0,0,93376,107
5e25c269e17de4c5a23ce886cda612b01365a944,ff6a9292e6f633d596826be5ba70d3ef90cc3300,0,0,0,1,74027,384
5e25c269e17de4c5a23ce886cda612b01365a944,187372a3b9faff68ed61c291d0135e6739e0dbdf,0,0,0,0,133626,49
5e25c269e17de4c5a23ce886cda612b01365a944,e259221763a40403d5bb232209998e8c45804ab8,0,0,0,0,118282,111
5e25c269e17de4c5a23ce886cda612b01365a944,332391a9935da939319e473b4680e173df75afcf,0,1,0,0,1372,88
5e25c269e17de4c5a23ce886cda612b01365a944,7b7a8665edd8db733980389b098530f9e4f630b2,0,0,1,0,318253,236
