fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
dccdff2539a673c3a0f88c15ebdce849b12ffb15,24eee9d7ba9a6084d78c942428b679ec782fc94d,0,1,1,1,3588,3
99c319e03a0f08d87bdff95dc0578672fbe89961,37fa21a2af7c118ceb3c875b6f09c68292a6727e,0,1,0,0,104,4
99c319e03a0f08d87bdff95dc0578672fbe89961,d40956c7909bffa338fd0138565044571e852da3,1,0,1,1,157,17
b60059f6f326b8c2c91fcef70ad9a8d0d11e3eda,f3a721940cf1c67b6304628f39f4616996a915d2,0,1,0,0,833,20
b60059f6f326b8c2c91fcef70ad9a8d0d11e3eda,717f9217bb323fa03c03bfc188a7f2cdb797eaa6,1,0,1,1,1409,1421
25616b9f2bbca3f03dbde1dc81a57986241c1aab,f0e331e005d830d8b5aaa4cb5e2824d98bd75b2a,0,1,0,0,30569,5
25616b9f2bbca3f03dbde1dc81a57986241c1aab,9e134c9afa77cf7dc54650da13240bc1ed59916d,0,0,1,1,58686,25
2d10c5eb432412c55b452c2aea12ee473b85b92e,d08facdcb5dee19ed57d74196df96084063c02bd,0,1,1,1,13674,2
65ac6b8ae328179f244a3530f6f174c7a32ad1c1,fd09ddb6f3c40e9ec5854cc58c7eb791d4498dc0,0,1,1,1,3896,1550
63a4370afd3377de4308349283b981fac748e36c,200612ca1ef1a1bf75dbe52feef5a09ae5a58ca6,0,1,1,1,1274,232
186ae1c288450aca87cdc97e08930fa0d826760b,e3b8fe202401e7a11938329373d94d7b60794088,1,1,1,1,11322,727
1f5cce174c23edbb17b36f97ac75b95aafb14178,cbe2dbb672a6c55d86f2e515f9d1cdfee426ef80,0,1,1,1,27343,27601
c65ca4ec1626ee1c35e727c3b70b64c103917312,7862b2b71cab2f2e86439fee9483b972a51783f6,0,0,1,1,1217,94
c65ca4ec1626ee1c35e727c3b70b64c103917312,83aa86d658cf09517c7e6b652b6c73081ccf8cd8,0,0,0,0,628,24
c65ca4ec1626ee1c35e727c3b70b64c103917312,8d6ee5cb0800bd4955c4b57c4d346e49c4791514,1,1,0,0,477,3
