fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
6d6308f6774b4c684de7f3aab12cb752c59d5e2f,13aca847695f49afeb93367ecdad76035fa6c139,0,1,1,1,2530,397
a289dfd69b3ff4bccdde93e84b67c947bafa27e1,7fdb237f5473cb8fc2129e57e8a0039526dcb4fd,0,1,1,1,923,34
e37d30f334830fab4decd52ef3c17fa09b7b0d92,535610b5615f8f7b82b715f1163111696295ada6,0,0,1,0,19858,39
e37d30f334830fab4decd52ef3c17fa09b7b0d92,258f0970f96d44057cd456bb3b9fb2c9114030f2,0,1,0,1,6362,171
24072d36bcf6bb4bc84a2e1bbe0b3331c50c545a,cafc7f91306ea17ace4a6c3d76d81c8780c87452,0,1,1,1,336,57
a8cabc612b16834260831a8163ae4b479b5c33a5,6c47cd7d3bf35c8158a0737f34fe2c5dc95e72d6,0,1,1,1,129,308
3f856a2813359ad8203ccad388e54ff41a9ecaf1,cffaed83e87bde81378b2be74192193850d0e03a,0,1,1,1,756,731
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,e963e3ada17e7592ad499b9d7fbb3355287a05ca,0,0,1,1,19634,1516
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,93f1bcf40030a9e98bf2b71c177cbea36c64d5c9,0,0,0,0,18353,960
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,1a96c8e1ccb06f87b6bfaff4639390ecd00af588,0,1,0,0,2525,46
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,968d3d242cc9256eaca9a18155a744b575159cbd,0,0,0,0,19484,1207
d4a95a952e47d6ab959694114eccc838a0b31529,eb1f9e30ec603ab34631cc3adba1def49485b505,0,1,1,1,42,151
d253a45e1c147f5174265d71d7419da7bd52a88b,ec88d1ea0591beccab97d9096fd3fd7b09bc823c,0,1,1,1,521,74
7bb55ed099f611ec7077db69684a6cb93d42dc70,c4f58deab56282cd438922203287cb073b861513,1,1,0,0,67,151
7bb55ed099f611ec7077db69684a6cb93d42dc70,b77c08e06b67d5b1dd8aaf67b732e93851d8ae43,1,0,1,1,24929,580
86a3d44de5326fd4d714e90bf9012360f1d028a2,e5719363f54c8c45233ded86b5b18feb36b601f7,0,0,1,1,8025,1425
86a3d44de5326fd4d714e90bf9012360f1d028a2,f1368a333e5e08575f0b45dfe41e936b106a8627,0,0,0,0,611,389
86a3d44de5326fd4d714e90bf9012360f1d028a2,583eb170f0b09d5f83a9a5d2a1924773077f6c5d,0,0,0,0,609,7
86a3d44de5326fd4d714e90bf9012360f1d028a2,6ef5c881dd5568f08dc35013e24f7d857f36b207,0,1,0,0,41,18
