fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
9c0a1adfa21f12e6682fa26d43fbf91bab4e6fc3,6f21d2e49657ada264cace9da7cf6945b4fc073d,0,1,0,0,1040,108
9c0a1adfa21f12e6682fa26d43fbf91bab4e6fc3,93c0a81491b148910dd633d383d4c1218104ecca,0,0,0,0,6353,23
9c0a1adfa21f12e6682fa26d43fbf91bab4e6fc3,00b2b69add373f168e8729e99f349ec5a3753db3,0,0,0,0,2983,104
9c0a1adfa21f12e6682fa26d43fbf91bab4e6fc3,07bf274d98e9543317406347ced616a7bc1162cc,0,0,1,1,9498,123
33df3e37ffecfed309a1a0f210a96620c0ebb837,9e9edf71f7d3093b4ac1fe61ccc6dad2976e0a1e,0,1,1,1,3435,2048
2e1ed0815d3f426e7e30b09f3c781425c76e72d5,7908ab209350782646dfc112d346ea75974b9dec,0,1,1,1,3305,1980
a8dd93027470f3d6b56352fddadfd7b702d26831,1053af0b9c4127873034a935ce3382940696e693,0,1,0,1,1,1217
a8dd93027470f3d6b56352fddadfd7b702d26831,13dac5e463e183695e6579fb8bdd4747db50cf6e,0,0,1,0,157,163
dce708d11c4ec94ece2fd49b6b697df759f93ef1,9d019a7db725dca3dfdbf8d4dbc3b51835e0b49e,0,1,1,1,207,17
b1b8f7982ebac1347a86d5eb9eee8e5f3bd3d39c,fdbb9cdf746bbf0c39c34188baa8872471183ff7,0,1,1,1,7041,142
b1569e39c87a32b64fe06702c1f18b43eb35f5ad,ec55cf526dc7707cca7588718ba1f99c1fe0a7f0,0,1,1,1,14069,252
f2a344e3974eeba860434884bd70f8d11cca94ea,16486662038de53c482cd6f50a30505f2bf20453,1,0,0,1,410,198
f2a344e3974eeba860434884bd70f8d11cca94ea,c3cc8e16e9655ffcaead811675c360b6764f2992,1,0,1,0,411,126
f2a344e3974eeba860434884bd70f8d11cca94ea,be16c16bdaae9ac1ebddbe755236e62de9011f01,0,1,0,0,98,4
f2153f9716876b87bfcc53ff13b86b878edaae86,1c532594e77aa22617c51b988a93084cfc0dc900,0,0,1,0,7477,14
f2153f9716876b87bfcc53ff13b86b878edaae86,23b088907fd23da417f5caf2b7b5f664f317ef4a,0,1,0,0,617,16
f2153f9716876b87bfcc53ff13b86b878edaae86,9e9edf71f7d3093b4ac1fe61ccc6dad2976e0a1e,0,0,0,1,5681,2048
c83463ef74050a9bb76fade9448f920a2e28da45,85f49abfbe50d29e4314ed0a3b436f3b14162d00,1,1,1,1,5245,41
a47c133c869db74024c9ab50801cd6b7553409e4,409a56281eda6e0f39ecb1a2737eb4ab39b0229b,0,1,1,1,4378,18
