fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
13e13d87b6cb29864a12eb44ce2998dacf8faf49,93dd9641bb0019ffa6315414522ca79e70a6c207,0,1,1,1,1,10,MCZbase,1,1,1,0.0,3497,2081.54,611,1,0.00716435,61.0,0,6,4,1327.0
2b37656204d3a4c541af6e1c0da62806a40ffdbf,1bc0926b2481cfe6e010b831b0a8c29b51812bad,0,1,1,1,1,94,MCZbase,1,1,1,0.0,3598,2113.03,682,2,0.0466088,339.0,0,55,39,4995.0
e343629fc2f011df1a9504f6d8166d4f6ba20c88,1bc0926b2481cfe6e010b831b0a8c29b51812bad,0,1,1,1,2,94,MCZbase,1,1,1,0.0,3598,2113.03,682,2,0.0466088,339.0,0,55,39,4995.0
e5e5a11270cef44c1b36b4089cca5b54987bda53,9fdc075ea02c43705a1bdccad46ddd217711cd00,0,1,1,1,1,193,MCZbase,1,3,3,0.737265,3606,2117.77,690,2,0.321941,154.667,0,130,63,2673.67
2cc76fbdc29f29dbfc548b2e109dc25f04b49f2b,5a1be923d8d6dd9977e50f466cd5e68e45668553,0,1,1,1,7,6,MCZbase,1,1,1,0.0,3665,2164.17,723,2,0.108021,368.0,0,4,2,5136.0
0655b95faf42395975b6a0a4caf232965c4b13aa,a7ae941023772b90e6c4cf57541943245d4ba5af,0,1,0,0,4,1760,MCZbase,2,2,2,0.386809,3669,2165.54,1981,2,14.8982,146.0,0,1515,245,1718.0
0655b95faf42395975b6a0a4caf232965c4b13aa,2028d43b0fe15b77d7494c6ff8d07f987487e82b,0,0,1,1,2832,2603,MCZbase,3,6,6,0.0904342,1400,753.677,835,2,5.56558,3.83333,0,1349,1254,867.333
ede0a362092ff30cb695f393e708587ed0965ce1,0655b95faf42395975b6a0a4caf232965c4b13aa,0,1,1,1,1,41,MCZbase,1,1,1,0.0,3673,2169.45,1259,2,0.00537037,252.0,0,25,16,2958.0
91bdaa495f4a85d0e13809a7b75cbb63350ee79b,022edfce26671c6fd0f9190d0b90e5d4117fc92d,1,1,1,1,1,348,MCZbase,1,1,1,0.0,3727,2217.99,742,1,0.0794444,78.0,0,345,3,1792.0
d5f41c61b3bb5f94eefa363ec5fce998df506f4d,fc37273efdccefbf0113546f2d18e7bde83fdd17,0,1,1,1,1,17,MCZbase,1,1,1,0.0,3743,2231.52,1302,2,0.0191551,293.0,0,16,1,3474.0
359599f120d18fb49408017fdc91a153a3b5e31e,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,1,27,MCZbase,2,2,2,0.219677,3751,2239.17,2062,2,0.0549132,178.5,0,27,0,2821.0
4b715527d06b719bba9db4f4c1a109da962974cd,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,2,27,MCZbase,2,2,2,0.219677,3751,2239.17,2062,2,0.0549132,178.5,0,27,0,2821.0
d487c9fc3668e1a31c5da003dd7fb2420ee3eef6,4b715527d06b719bba9db4f4c1a109da962974cd,0,1,1,1,1,2,MCZbase,1,1,1,0.0,3753,2241.17,1312,2,0.000416667,302.0,0,1,1,3531.0
708f979092ae6fa44e4ac88451be1a95e4415d48,4ebf204a5f16763fdf4e506961bd7c0fc41706f0,0,1,1,1,5,27,MCZbase,2,2,2,0.219677,3751,2239.17,2062,2,0.0549132,178.5,0,27,0,2821.0
fc26c4b5da42c6fa8051cc68352b6d253b95fe38,61eb7f637c209b6ea0f458300bb3674cea29ee87,1,1,0,1,1,15,MCZbase,1,1,1,0.0,7275,3656.53,295,2,0.00671296,59.0,0,12,3,257.0
fc26c4b5da42c6fa8051cc68352b6d253b95fe38,dda34cbcdb4282ed34b79717fc4c2d22f23800d0,1,0,1,0,4,7,MCZbase,1,1,1,0.0,7272,3653.6,292,2,0.684248,56.0,0,3,4,257.0
1937349eb5dda69414b7d52e34ed81a3c09dc20c,3145dcee734d4b1030c73d3f9556cdf526170e50,1,1,1,1,1,174,MCZbase,1,1,1,0.0,7278,3659.41,298,2,0.778542,536.0,0,95,79,1254.0
91f0861429231a107a534712bd1840000e72b809,35283f4fd1f455cd17b8f04f97d20b389e9183e0,0,1,0,0,4,18,MCZbase,1,1,1,0.0,437,277.421,212,4,0.00554398,15.0,0,10,8,1476.0
91f0861429231a107a534712bd1840000e72b809,b535b0b2499d68d5a09858414b189b4bdd310d17,0,0,1,1,5,31,MCZbase,1,1,1,0.0,436,276.424,211,4,5.07731,14.0,0,20,11,1467.0
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,425173a4bef4ca58b0c065b9f2c1b02cde3067ce,0,0,1,1,16245,154645,MCZbase,29,59,1100,0.469229,0,0.0,0,0,0.0,0.0,0,154645,0,0.0
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,579f6da003d703619fcfc1a53f9c0eed74970b15,1,0,0,0,2,6,MCZbase,1,1,1,0.0,501,286.199,252,4,0.00591435,14.0,0,4,2,1145.0
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,b314bb3d04db82e1e58ef12bfca3d06393288fd0,1,0,0,0,3,183,MCZbase,1,1,1,0.0,500,285.202,251,4,49.013,13.0,0,176,7,976.0
162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,122a7baa48fac12b00f24800373d0c0f9853cbdc,0,1,0,0,1,148,MCZbase,3,3,3,0.601972,502,286.741,421,8,17.5867,39.3333,0,108,40,1749.33
71fc4acd95a044698d1b7f1c4f9f705388141eec,779116a1c3e7a1a9a94619688ed28faffc58d283,0,1,0,0,2,68,MCZbase,3,3,3,0.717977,508,290.225,430,8,3.92433,41.0,0,66,2,1781.67
71fc4acd95a044698d1b7f1c4f9f705388141eec,162ad81f41a8bc176ec7cef2afbd3c00f4a6cfb7,0,0,0,0,12,72,MCZbase,4,4,4,0.566423,503,287.715,446,8,18.2582,30.0,1,43,29,1387.25
71fc4acd95a044698d1b7f1c4f9f705388141eec,66eccc7375efb306b5b8cd3a7caed3bb63b8b91c,1,0,1,1,78,122,MCZbase,1,1,1,0.0,20,10.271,8,3,1.0149,12.0,0,61,61,976.0
b81c7af1a31422e834b95f2acb1f3a9b516bfe67,4b60010300f2d8c0b6ec453e5f725d4de6c3a2ee,0,0,1,1,428,280,MCZbase,3,3,6,0.308208,597,370.337,547,6,891.906,24.6667,0,160,120,1288.17
b81c7af1a31422e834b95f2acb1f3a9b516bfe67,22b913bcf247c17ad6a4bdb5ea3b8cc023bb3b66,1,1,0,0,3,43,MCZbase,3,3,3,0.272178,517,298.734,443,4,96.7518,3.66667,0,37,6,526.333
a8cd8206bd34eaa59148ae6a320dc0c7d1c6d406,939db2b3bc9a3eb16d979bb824b814773973e63c,0,1,1,1,1,27,MCZbase,1,1,1,0.0,522,300.989,270,8,28.0041,175.0,0,27,0,2161.0
29fcb22898236ac294e4c798f19216c05a0f74e0,fa106dabe45dd081a5594c4392a3d85d1738b7fa,0,1,1,1,1,40,MCZbase,1,1,2,0.861781,524,302.536,272,8,3.86119,107.0,0,35,5,1937.0
f306089e369d15ebdbf6a7b39c9f451fc83938c0,abf3815b0f198adeabdac79bdf30a469583bccc3,0,1,1,1,3,137,MCZbase,1,1,2,0.521291,694,298.575,367,4,116.985,31.0,0,111,26,1271.0
e1ecd2840c270962dee02968c002674937fc2aa4,c124496c1d55e1267b366e432289f4ad3d9b8ae6,0,1,1,1,6,17,MCZbase,1,1,1,0.0,735,315.491,387,8,19.8039,196.0,0,17,0,2224.0
