project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
Metazone,dca502e227ec048590fe6aeebd1be7ab2c194720,1,1,3,0.268177,0,0,0,0,0,0,0,46,0,0
Metazone,4f1f770eb23424bde9a34e6e7b88f890f7b9009f,1,1,1,0,0,0,0,0,0,0,0,12,0,0
Metazone,855405812a61453e71ac223ab07959957f5e7b08,1,1,1,0,1,0.999998,1,0,0,0,0,26,0,0
Metazone,c0db72bbc1d2aae238b7eac720f621babaac15ba,1,1,1,0,2,2,2,0,0,0,0,34,0,0
Metazone,65231475fb52496bffec877d981b634e295f0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Metazone,88c305d62430d4befc1ffa5f23b54977f40d1a6d,1,1,1,0,1,0.999999,0,0,0,0,0,21,0,0
Metazone,d665d6c441122c49c40572a12dd8624e6c63e539,1,1,1,0,2,2,0,0,0,0,0,70,0,0
Metazone,5d0b579bd0c1b259a550b0f1b52fc369c1337392,1,1,1,0,3,3,1,0,0,0,0,53,0,0
Metazone,65059e4c77c800d1de79ab9ad600260da305ddae,1,1,1,0,4,3.99999,2,0,0,0,0,39,0,0
Metazone,25ce835bdef7c5883570ab38fa789815c267afba,1,1,1,0,5,4.99999,3,0,0,0,0,64,0,0
Metazone,9649b64ec415335f46a9081fbc2cb2aa3ecdeeb0,1,1,1,0,6,5.99999,4,0,0,0,0,58,0,0
Metazone,006ec88f478a0030ef49428159c242dc282c9755,1,1,3,0.504468,3,2.99997,0,0,0,0,0,68,0,0
Metazone,ae8343a34b258448ffbd14729ac201a9ee9b233f,1,1,2,0.0334542,4,3.99996,0,0,0,0,0,38,0,0
Metazone,bfe43645f47ef93e517f29b80075c14393d7fd8f,1,1,1,0,7,6.99995,0,1,0.0003125,1,0,1,1,37
Metazone,b64eb3589fe4b59c484c92a2b7acbf3903a2566e,1,1,1,0,8,7.99994,1,2,0.000543981,2,0,2,0,37
Metazone,4a14f2d79b3793c02dfa654fd73456777a1d99d8,1,1,1,0,9,8.99992,5,0,0,0,0,54,0,0
Metazone,d85c8e76891b60c15bad0810e7a0bee9e73939dc,1,1,1,0,10,9.99978,1,0,0,0,0,128,0,0
Metazone,e75a240cf92678c393450c9d16c595900d89d609,1,1,1,0,0,0,0,0,0,0,0,69,0,0
Metazone,e51ca5841e472187af0f88c8f08f37305e24ca75,1,1,1,0,1,0.999997,1,1,0.000925926,1,0,8,0,69
Metazone,c2fd9b7d781f39b5fdbbdf24fa2059c9d0cdcde5,2,2,2,0.57938,0,0,0,2,0.0157523,2,0,3,0,20.5
Metazone,7ff1737cc567c5900a9ca7961fc465ec714fa5ce,1,1,1,0,11,10.9995,2,1,0.020625,1,0,3,0,2
Metazone,95eb930f71f33e613abcc1fd29e5c4cf6315a00e,1,1,1,0,1,0.999995,1,2,0.000127315,2,0,1,1,5
Metazone,263ce517d490091e71af343deb079cbfacb914ea,1,1,1,0,12,11.9993,3,2,0.00528935,2,0,2,1,5
Metazone,4c975955811093b5a3f11d12369f2c3d15c23a5b,1,1,1,0,2,1.99997,2,2,0.000208333,3,0,1,1,6
Metazone,819e9fce5fd5bc7b91e0131502b9a79225d7b58d,1,1,1,0,13,12.9991,4,2,0.0062963,3,0,1,1,6
Metazone,bfd479d31c451ef1eed349e5d943976e2315d698,1,1,1,0,3,2.99991,3,2,0.000127315,4,0,2,1,6
Metazone,0d237e645683ba856d7e912c74f36c93a6eb4ecb,1,1,1,0,5,4.99957,0,0,0,0,0,26,0,0
Metazone,71dcd7bd68ce9a1b50224312d3186b46a73777a9,1,1,1,0,14,13.999,5,2,0.00381944,4,0,4,1,6
Metazone,e1ec1bdc7489168f84fc32361c623b7e21070ab4,1,1,1,0,4,3.99987,4,2,0.000138889,5,0,2,3,9
Metazone,64088649ef511aebd5d76401052cc322b0eaa671,1,1,1,0,2,1.99989,2,1,0.0190972,2,0,0,4,77
Metazone,798d2a0f069b581ebf436008508a51a8642e922b,2,2,2,0.47756,5,4.99985,6,2,0.0168345,4,0,4,3,24
Metazone,5d87b52f47bdd03498fdb7c2b8cc5ffaf70099e4,0,0,0,0,6,5.99949,0,0,0,0,0,0,0,0
Metazone,96eba8826e06e1d3420f1cba859c6aef66705229,1,1,1,0,15,14.9986,6,2,0.00965278,5,0,1,1,9
Metazone,d38aa0597a08c168712462ac8dc555dd4a800dfe,1,1,1,0,6,5.99972,6,2,0.000127315,6,0,2,4,9
Metazone,c7a56feb11d92800ad855c13ddbbdd7a0b54d72c,1,1,1,0,16,15.9985,7,2,0.000833333,6,0,1,2,9
Metazone,7dc00bd0672a634c03d71c32d05c4db5bcc8154b,1,1,1,0,7,6.9997,7,2,0.000127315,7,0,2,2,8
Metazone,d2e226146e70947fb524a29e5990cfd6bb5b07e8,1,1,1,0,17,16.9983,8,2,0.00461806,7,0,3,0,8
Metazone,ec237ad37bee25f1cd5ed03cf42908ad36a3eb31,1,1,1,0,8,7.9996,8,2,0.000115741,8,0,2,3,11
Metazone,428d19efcca34cf7fef436f050cf96663172cc77,1,1,1,0,18,17.9983,9,2,0.00103009,8,0,2,2,11
Metazone,ed94c8fff2938ac7106ad0a888d13fdf80bd97e6,1,1,1,0,9,8.99957,9,2,0.000150463,9,0,2,1,11
Metazone,ef319466d643e3b1cc9843b4602bf902fd85580d,1,1,1,0,19,18.9981,10,2,0.00298611,9,0,2,0,11
Metazone,9af69dfef969feaa9ac3d5fe749e2b7c08b450f3,1,1,1,0,10,9.99949,10,2,0.000127315,10,0,2,2,13
Metazone,069d0f530336b99bd00d541c0adb26b18f09ef56,1,1,1,0,20,19.9975,11,2,0.0116319,10,0,1,0,13
Metazone,0f23880e7762123c72ed1c88be76f2b9ed80bf99,1,1,1,0,11,10.9991,11,2,0.000787037,11,0,2,2,14
Metazone,eb6a4f9231c2dba803fc61a2f31c7c3adc76339a,1,1,1,0,21,20.9974,12,0,0,0,0,128,0,0
Metazone,6b492420cc164f757878c9e562a59a21c80abb80,1,1,1,0,12,11.9991,12,1,0.000208333,1,0,11,11,128
Metazone,7f59ab17a042376f7a017871e811481f39b50b63,0,0,0,0,22,21.9973,0,0,0,0,0,0,0,0
Metazone,38ca04124e42ae194873f0e80abb993cedc46488,1,1,1,0,23,22.7975,13,2,3.2022,11,0,1,1,14
Metazone,38f3b3eefbbbad98259e31dad6b9a4e045e1351d,1,1,1,0,13,12.8861,13,2,0.000127315,12,0,2,1,14
Metazone,bceaa4be75ec912f8da966a7b93dae414160e84d,1,1,1,0,24,23.797,14,2,0.00861111,12,0,2,0,14
Metazone,69ec217828ff752fe5dcb88258aa92833fe37304,1,1,1,0,14,13.8858,14,2,0.000752315,13,0,2,2,16
Metazone,a6a3dcf1e54d431e6d6e44c472ca7b8a45db4bdf,1,1,1,0,25,24.7968,15,2,0.00239583,13,0,1,1,16
Metazone,004523adb0594559353db944ed0712c8c82eb378,1,1,1,0,15,14.8857,15,2,0.000162037,14,0,2,1,16
Metazone,e3871d3b25ac3bd6578e3d49d751357b3b6bfc57,1,1,1,0,26,25.796,16,2,0.0106829,14,0,2,0,16
Metazone,592a26dd5f4c168bd39f0fdd8ae825116a1873b2,1,1,1,0,16,15.8852,16,2,0.000127315,15,0,2,1,18
Metazone,83d409199103ce0d1b2bd6102b26a4f7f4353c94,1,1,1,0,27,26.7959,17,2,0.00206019,15,0,3,0,18
Metazone,e2810e9f644045a4aab4fa938e00ff83e7589f42,1,1,1,0,17,16.8851,17,2,0.000162037,16,0,3,1,21
Metazone,29a74cd28196a08fc559b1ab16da55a7ef74bafd,1,1,1,0,28,27.792,18,2,0.0510532,16,0,0,1,21
Metazone,effb84e5112b383f02c8207343b8d3ea962f0a28,1,1,1,0,29,28.7911,19,2,0.0116204,17,0,1,0,20
Metazone,241baa89c4db55cc246b9584776aab213c44eede,1,1,1,0,18,17.8821,18,2,0.000162037,18,0,3,1,21
Metazone,6a0d8b4522f9ec4d9494caf3c907dadd9132d032,1,1,1,0,30,29.7909,20,2,0.00314815,18,0,1,1,21
Metazone,dde3dbef9e4299fda34ab8c3f7e4c7042f9187c3,1,1,1,0,19,18.8819,19,2,0.000740741,19,0,3,1,21
Metazone,f45b79af2bbde51791bbc8bc371585f1448ff8ce,1,1,1,0,31,30.5258,21,0,0,0,0,1,0,0
Metazone,7250ab42b0a0f38fd5e142ddcd007ff10216ed0c,1,1,1,0,20,19.7106,20,1,0.00131944,1,0,1,1,1
Metazone,3745458f402926a4446c7a7da245d71ad748cd53,1,1,1,0,32,31.5252,22,0,0,0,0,4,0,0
