fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
a2d882aba9095bcd210fd956216f764fa3637eee,53b100dd4a64f037e50613609930cbd057497ac4,0,0,0,0,524,70,Parrot,2.0,2.0,2.0,0.163842,317.0,263.29,271.0,2.0,0.0223148,8.0,0.0,69.0,1.0,330.5
a2d882aba9095bcd210fd956216f764fa3637eee,30292d1e20e9c871b104ee8c8280885b01179e08,0,0,0,0,449,22,Parrot,1.0,2.0,2.0,0.647965,326.0,288.798,234.0,2.0,0.0245949,10.5,0.0,11.0,11.0,407.5
a2d882aba9095bcd210fd956216f764fa3637eee,52976d76babd2371198313f29da00bf711046686,0,0,0,0,777,136,Parrot,3.0,3.0,5.0,0.337681,71.0,69.3167,71.0,2.0,5.29685,15.6,0.0,99.0,37.0,255.6
a2d882aba9095bcd210fd956216f764fa3637eee,04cd8f067be320b3df3a732a2ab6b1a9909d9962,1,0,0,0,177,4,Parrot,1.0,2.0,2.0,1.0,529.0,442.914,335.0,2.0,0.090897,22.0,0.0,2.0,2.0,739.0
a2d882aba9095bcd210fd956216f764fa3637eee,1edaed4f016d8e981ff6eb1c745e59180e0a01c6,0,0,0,0,489,52,Parrot,2.0,2.0,2.0,0.523683,306.0,275.873,257.0,2.0,5.96254,19.5,0.0,37.0,15.0,253.5
a2d882aba9095bcd210fd956216f764fa3637eee,d111543e320e3b540172454f3cb39ba17ff80ef9,0,0,0,0,534,177,Parrot,3.0,4.0,4.0,0.0394697,274.0,249.235,253.0,2.0,3.53119,12.0,1.0,173.0,4.0,141.5
a2d882aba9095bcd210fd956216f764fa3637eee,505a0fba05d87483b75e61529c3729de29cdc59a,0,0,0,0,645,2,Parrot,1.0,1.0,1.0,0.0,189.0,181.052,24.0,2.0,0.00340278,13.0,0.0,1.0,1.0,242.0
a2d882aba9095bcd210fd956216f764fa3637eee,76b63ad9c34a24ec6d3187cace0cf3088e55e6ba,0,0,0,0,391,6,Parrot,1.0,2.0,2.0,0.57938,368.0,323.734,270.0,2.0,6.30152,18.0,0.0,3.0,3.0,465.0
a2d882aba9095bcd210fd956216f764fa3637eee,accfe19dea9ed3cc4086859ab79cc65ec58bf377,0,0,0,0,561,6,Parrot,1.0,1.0,1.0,0.0,302.0,253.878,218.0,2.0,2.09196,5.0,1.0,3.0,3.0,616.0
a2d882aba9095bcd210fd956216f764fa3637eee,1f89aa83ac22e65681b0bb3d51a8a49fc0285d5b,0,0,0,0,76,87,Parrot,2.0,2.0,2.0,0.128657,619.0,522.792,500.0,2.0,1.44891,70.0,0.0,51.0,36.0,1900.5
