fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
c199b8499d6c8ac08fad0349c3c53e07d41c6ac7,f13dff6977dbfabd73f748e344218563a91e3017,0,1,0,0,1,138
c199b8499d6c8ac08fad0349c3c53e07d41c6ac7,75aa0fbf70018c293b890ddb0b021da204be9010,1,0,0,0,3,79
c199b8499d6c8ac08fad0349c3c53e07d41c6ac7,d1b70ffa03863b810813dd9d098b38500d4be424,0,0,1,1,4,5807
c199b8499d6c8ac08fad0349c3c53e07d41c6ac7,f01a4ca4e207801911f082719dd24e0f018edd67,0,0,0,0,2,6
0cc05617d17947d139d09f4ddcca7aeca755f00a,6d97df0e992dc5015b5327935ab89923d2dc0ba9,1,0,0,0,3,79
0cc05617d17947d139d09f4ddcca7aeca755f00a,661f878002d789f7e50b19d63da246414015c44b,0,1,0,0,1,138
0cc05617d17947d139d09f4ddcca7aeca755f00a,dba0fd9b6a76897bbb42b2b6dcfb3b84b8558936,0,0,1,1,4,5807
0cc05617d17947d139d09f4ddcca7aeca755f00a,429187c6a8816e6df73f69530d0641ac0dcc514e,0,0,0,0,2,6
6ccefea62ae5644c9b318234c6a8a6c077d00922,52109986881e77ba2f7a2e3dfe39f2f842732f16,0,1,0,0,2,3201
6ccefea62ae5644c9b318234c6a8a6c077d00922,4405b78d6059e536c36974088a8ed4d9f0f29898,0,0,1,1,10,32239
fa2a0338d3f8b1c3a1d75bff39ff42e436cee0dc,99cef996c788755af95a0a614d7154a30928d4b9,0,1,0,0,2,3201
fa2a0338d3f8b1c3a1d75bff39ff42e436cee0dc,e071a3f6c06f41068ad17134189a4ac3073ef76b,0,0,1,1,10,32239
cc0b4c3b62367a2aebe5fc1f4d0ed4b97e9c2ac9,6ccefea62ae5644c9b318234c6a8a6c077d00922,0,1,0,0,1,103
cc0b4c3b62367a2aebe5fc1f4d0ed4b97e9c2ac9,52109986881e77ba2f7a2e3dfe39f2f842732f16,0,0,0,0,3,3201
cc0b4c3b62367a2aebe5fc1f4d0ed4b97e9c2ac9,4405b78d6059e536c36974088a8ed4d9f0f29898,0,0,1,1,11,32239
dd519206a684c772a4a06ceecc87c665ad09d8be,fa2a0338d3f8b1c3a1d75bff39ff42e436cee0dc,0,1,0,0,1,103
dd519206a684c772a4a06ceecc87c665ad09d8be,99cef996c788755af95a0a614d7154a30928d4b9,0,0,0,0,3,3201
dd519206a684c772a4a06ceecc87c665ad09d8be,e071a3f6c06f41068ad17134189a4ac3073ef76b,0,0,1,1,11,32239
e874738d3de335faacb83d0398cabdff7477bfa0,52109986881e77ba2f7a2e3dfe39f2f842732f16,0,0,0,0,8,3201
e874738d3de335faacb83d0398cabdff7477bfa0,4405b78d6059e536c36974088a8ed4d9f0f29898,0,0,1,1,16,32239
e874738d3de335faacb83d0398cabdff7477bfa0,7be46ce487e2f3c6e145b9bc56cc37d8de97df9e,1,0,0,0,3,196
e874738d3de335faacb83d0398cabdff7477bfa0,8938414f0c1e325a3c2242b703f24411956aee15,1,1,0,0,1,14
fe9f3d626d79f71d819caf43878299fa5e6af83e,99cef996c788755af95a0a614d7154a30928d4b9,0,0,0,0,8,3201
fe9f3d626d79f71d819caf43878299fa5e6af83e,e071a3f6c06f41068ad17134189a4ac3073ef76b,0,0,1,1,16,32239
fe9f3d626d79f71d819caf43878299fa5e6af83e,32d490313b21d5cea64f99ca9db4388591bb3ab9,1,1,0,0,1,14
fe9f3d626d79f71d819caf43878299fa5e6af83e,e8474beb6f2c5e2654f8ebc671b3dbf5fae78563,1,0,0,0,3,196
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,6ccefea62ae5644c9b318234c6a8a6c077d00922,0,0,0,0,8,103
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,cc0b4c3b62367a2aebe5fc1f4d0ed4b97e9c2ac9,0,0,0,0,7,1548
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,8938414f0c1e325a3c2242b703f24411956aee15,1,0,0,0,3,14
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,f01a4ca4e207801911f082719dd24e0f018edd67,0,0,0,0,13,6
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,4405b78d6059e536c36974088a8ed4d9f0f29898,0,0,1,1,18,32239
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,7be46ce487e2f3c6e145b9bc56cc37d8de97df9e,1,0,0,0,5,196
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,52109986881e77ba2f7a2e3dfe39f2f842732f16,0,0,0,0,10,3201
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,e874738d3de335faacb83d0398cabdff7477bfa0,0,1,0,0,2,52
e66ec79b18717bf83b7dbbe54f844b4463dabdeb,d1b70ffa03863b810813dd9d098b38500d4be424,0,0,0,0,15,5807
4ac57f013e20da2d0f87fff69625cbd4419089f3,fe9f3d626d79f71d819caf43878299fa5e6af83e,0,1,0,0,2,52
4ac57f013e20da2d0f87fff69625cbd4419089f3,99cef996c788755af95a0a614d7154a30928d4b9,0,0,0,0,10,3201
4ac57f013e20da2d0f87fff69625cbd4419089f3,dba0fd9b6a76897bbb42b2b6dcfb3b84b8558936,0,0,0,0,15,5807
4ac57f013e20da2d0f87fff69625cbd4419089f3,429187c6a8816e6df73f69530d0641ac0dcc514e,0,0,0,0,13,6
4ac57f013e20da2d0f87fff69625cbd4419089f3,fa2a0338d3f8b1c3a1d75bff39ff42e436cee0dc,0,0,0,0,8,103
4ac57f013e20da2d0f87fff69625cbd4419089f3,e071a3f6c06f41068ad17134189a4ac3073ef76b,0,0,1,1,18,32239
4ac57f013e20da2d0f87fff69625cbd4419089f3,e8474beb6f2c5e2654f8ebc671b3dbf5fae78563,1,0,0,0,5,196
4ac57f013e20da2d0f87fff69625cbd4419089f3,dd519206a684c772a4a06ceecc87c665ad09d8be,0,0,0,0,7,1548
4ac57f013e20da2d0f87fff69625cbd4419089f3,32d490313b21d5cea64f99ca9db4388591bb3ab9,1,0,0,0,3,14
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,6ccefea62ae5644c9b318234c6a8a6c077d00922,0,0,0,0,11,103
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,cc0b4c3b62367a2aebe5fc1f4d0ed4b97e9c2ac9,0,0,0,0,10,1548
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,e66ec79b18717bf83b7dbbe54f844b4463dabdeb,0,0,0,0,3,798
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,fba40889418cb1861440a3fdccee048c69f0fb89,0,1,0,0,1,2485
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,8938414f0c1e325a3c2242b703f24411956aee15,1,0,0,0,6,14
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,4405b78d6059e536c36974088a8ed4d9f0f29898,0,0,1,1,21,32239
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,52109986881e77ba2f7a2e3dfe39f2f842732f16,0,0,0,0,13,3201
93cfb02acb13b74198b8e0ab72f039313ecf9f1f,d1b70ffa03863b810813dd9d098b38500d4be424,0,0,0,0,18,5807
300d4608f2504e3e4a02a13b6c6000b52c436975,e4c05d31778a85014b2a52e2f20753b38dfbf950,0,1,0,0,1,2485
300d4608f2504e3e4a02a13b6c6000b52c436975,4ac57f013e20da2d0f87fff69625cbd4419089f3,0,0,0,0,3,798
300d4608f2504e3e4a02a13b6c6000b52c436975,99cef996c788755af95a0a614d7154a30928d4b9,0,0,0,0,13,3201
300d4608f2504e3e4a02a13b6c6000b52c436975,dba0fd9b6a76897bbb42b2b6dcfb3b84b8558936,0,0,0,0,18,5807
300d4608f2504e3e4a02a13b6c6000b52c436975,fa2a0338d3f8b1c3a1d75bff39ff42e436cee0dc,0,0,0,0,11,103
300d4608f2504e3e4a02a13b6c6000b52c436975,e071a3f6c06f41068ad17134189a4ac3073ef76b,0,0,1,1,21,32239
300d4608f2504e3e4a02a13b6c6000b52c436975,dd519206a684c772a4a06ceecc87c665ad09d8be,0,0,0,0,10,1548
300d4608f2504e3e4a02a13b6c6000b52c436975,32d490313b21d5cea64f99ca9db4388591bb3ab9,1,0,0,0,6,14
