project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
pig,326a8ff997264bf834d24f2ab7c720df2114b38e,6,26,151,0,0,0,0,1,0.000000,0.006623,0,21713,0,143.794702
pig,ced84c8dbb23aba17b93a3455b796a6621714bbd,2,13,66,0,0,0,0,1,0.000000,0.015152,0,6334,2269,130.348485
pig,b4a10bdc73e47e8a6a6b9634d0825a394596820b,3,1,0,0,1,0.983236,1,1,0,0,0,0,0,0
pig,6a92db4be1416b70b095410a0dcada97f05702bb,1,0,0,0,1,0.973303,0,1,0,0,0,0,0,0
pig,a1d6293708dd7d3e375e2642e96cd6bae0cc0172,3,3,4,0,2,1.97398,3,1,0.000000,0.250000,0,15,5,5.000000
pig,7e540f48f4abe29531a32f2a728bd3e39258602c,2,2,2,0,0,0,0,1,0.000000,0.500000,1,4,2,3.000000
pig,ecd006eb24da9e4b34aa2787c8854ef5975747fc,1,1,9,0,3,2.94166,2,1,0.000000,0.111111,0,478,470,105.333333
pig,ee8dd8f1051c967c1d5d024356a29b6da4a467de,2,1,1,0,2,1.93103,2,1,0.000000,1.000000,0,16,1,17.000000
pig,8511d545f1c02752270887efbbe6e8733eedaae3,4,6,5,0,3,2.90186,6,1,0.000000,0.200000,0,33,26,11.800000
pig,5b8edb0bc19f770d1cd73be98033b2e70fe0c982,3,4,4,0,4,3.82984,7,1,0.000000,0.250000,1,325,15,85.000000
pig,a3276d890bbd369b0ac8552a050dae894c21c4f8,3,6,10,0,4,3.79659,7,1,0.000000,0.100000,0,416,14,43.000000
pig,14956a71d9acf41094c2654c86b6dc7a3caf865b,2,1,0,0,5,4.81718,8,1,0,0,0,0,0,0
pig,bf5a56513b3da5b3e529c02a5c7e3af13f52b0e1,2,1,1,0,6,5.81498,10,1,0.000000,1.000000,1,5,1,6.000000
pig,68ae18630f90cb2714fe25e2d3de16a5f9a186cc,3,3,4,0,7,6.81255,14,1,0.000000,0.250000,0,80,6,21.500000
pig,d13f9cd2884b60eb86d2a2759ba0934da5609887,2,1,0,0,8,7.77863,9,1,0,0,0,0,0,0
pig,ff7a5c1e6a01e2bda96ffb20e97f5b560cacbb89,2,1,1,0,0,0,0,1,0.000000,1.000000,1,4,1,5.000000
pig,c0aa63bdc913ae89035985842b05fecc79da6448,4,10,48,0,5,4.72298,12,1,0.000000,0.020833,0,1602,106,35.583333
pig,6d970266390c530b55b9a4f156536652312229a5,2,3,3,0,0,0,0,1,0.000000,0.333333,0,306,2,102.666667
pig,91373c004ead334f8932cfd320208673a5c8eda1,2,1,1,0,6,5.68049,9,1,0.000000,1.000000,1,8,4,12.000000
pig,58f38d59dee540eb3a4f348e3451190dacbc9d55,2,1,0,0,7,6.67633,5,1,0,0,1,0,0,0
pig,eba8163b132b519c2e583103c4ce5be7bf47eb5d,2,1,1,0,8,7.67629,12,1,0.000000,1.000000,1,1,1,2.000000
pig,c8b0a87a557084fda1c60677c198dbe48742cfc7,2,1,1,0,1,0.989315,2,1,0.000000,1.000000,0,15,1,16.000000
pig,5299eab429d3bdf359860760f11fc6ed69fed1a0,2,2,2,0,9,8.65363,14,1,0.000000,0.500000,0,45,9,27.000000
pig,da14fbb9ae1873fbcf8c578aaf450414e1b0232e,3,3,3,0,2,1.98808,4,1,0.000000,0.333333,0,93,168,87.000000
pig,0aa259fe20ea5fa40348a08dde0a219413966b7b,2,1,1,0,9,8.54286,15,1,0.000000,1.000000,0,7,0,7.000000
pig,944e4197df7c05328a31a75a0f9e0eaa408e2464,1,0,0,0,3,2.9479,3,1,0,0,0,0,0,0
pig,92a9b7e241f32272810ded8f6b4b43d0672f4d32,3,3,3,0,4,3.93844,8,1,0.000000,0.333333,1,48,0,16.000000
pig,24facb615784fc82a905ee8f7828c1903d87c311,3,14,49,0,10,8.98889,20,1,0.000000,0.020408,0,2545,792,68.102041
pig,c1e5e8fdec31010729f8646058663080f0a781a8,1,1,1,0,11,9.98763,9,1,0.000000,1.000000,0,36,0,36.000000
pig,5031fb6fbd69c3e6c1a017b6bcca373b6b190cef,1,1,1,0,12,10.9874,10,1,0.000000,1.000000,0,0,1,1.000000
