bug_commit_hash,ns,nd,entropy,lt,fix,age,ndev,nuc,commit,exp_of_files,exp_of_codes,exp,rexp,sexp,la,ld,lines_of_modified_code,nf,candidate_commit_to_fix,is_Friday,is_latest_bic,is_largest_mod,is_earliest_bic,label
86774fc290ce0bf6d4263771856571044f66bdd0,12,29,9.333155350310626,8.333333333333334,0,4.023333333333333,7,355,e34a333d00814124d3e19d462b9d78ac35e7a49a,304,85429,381,339.0,366.0,118368,185,118553,645,60656,1,0,1,1,0
86774fc290ce0bf6d4263771856571044f66bdd0,2,2,1.584962500721156,2413.333333333333,0,1.5494675925925927,15,637,825a21d3250ff6301b501d3436e1fcbcf244cd96,47,9237,49,44.0,44.0,2797,2765,5562,3,9779,0,1,0,0,0
ac179cda7bae7bef539d235e3f66e5eed92b50ef,1,1,1.0,54.5,1,12.051203703703704,1,2,ac179cda7bae7bef539d235e3f66e5eed92b50ef,0,0,0,0.0,0.0,6,4,10,2,8466,1,1,1,1,1
b433e484c9ee47ffceb7645129403df31f60db7f,3,5,2.8073549220576046,77.85714285714286,0,0.0149884259259259,17,72,5db5d4e7432d026a7bddf344f97e8facd09128d8,3,168,1,2.0,1.0,267,183,450,7,68712,0,1,1,1,0
6a95edf9ab667d90b9935fc64403f0b74285af9b,1,1,1.584962500721156,2101.0,1,0.2624189814814814,37,377,a79da2457ec61cb9932502e498099d973d00fe38,44,791,12,10.0,12.0,218,3,221,3,49961,0,0,0,0,0
6a95edf9ab667d90b9935fc64403f0b74285af9b,1,1,1.584962500721156,2599.0,1,0.1884722222222222,43,447,6a95edf9ab667d90b9935fc64403f0b74285af9b,7,182,3,2.0,2.0,325,17,342,3,70341,0,1,0,0,1
6a95edf9ab667d90b9935fc64403f0b74285af9b,2,3,2.8073549220576046,1104.571428571429,1,0.2043055555555555,86,1070,9b8d6e1eefba6b09cde515cb4ef588ac0951b2f7,60,9113,170,102.25,190.0,909,1,910,7,51508,0,0,1,1,0
ce6eb5d4049441b911dcd5df8dbc6bc6834fcf5d,13,121,11.698270577692009,0.0,0,0.0,0,0,1ccdd8e2b2d7768c0777d9ac34565e3c1b5f1a69,2,19,1,2.0,0.0,903457,0,903457,3323,56795,0,0,1,1,0
ce6eb5d4049441b911dcd5df8dbc6bc6834fcf5d,1,2,4.643856189774723,1471.96,0,0.0591898148148148,297,2790,0628f2dc50f081b186704dd2a50e4918521ae42a,1193,191786,1209,606.5,1162.0,251,104,355,25,19005,0,0,0,0,0
ce6eb5d4049441b911dcd5df8dbc6bc6834fcf5d,1,1,1.0,4143.0,0,0.1112268518518518,96,783,ce6eb5d4049441b911dcd5df8dbc6bc6834fcf5d,7696,1858065,699,313.6666666666667,471.0,25,0,25,2,47873,0,1,0,0,1
ce6eb5d4049441b911dcd5df8dbc6bc6834fcf5d,1,1,4.321928094887363,4068.0,0,0.046099537037037,216,2130,986e5b76ae8758d8c895edce483c8cb84801c57d,1711,323122,500,231.33333333333331,319.0,206,182,388,20,7939,0,0,0,0,0
bf9e636605188e291d33ab694ff1c5926b6f0800,1,3,2.321928094887362,1393.0,1,0.0004976851851851,28,252,bf9e636605188e291d33ab694ff1c5926b6f0800,11,1354,18,17.5,18.0,88,5,93,5,34948,1,1,1,1,1
1f3c08b35f1d3118532b7b56b50d6f77c12a4e6e,3,3,2.8073549220576046,2552.428571428572,0,1.0731018518518518,20,484,1f3c08b35f1d3118532b7b56b50d6f77c12a4e6e,300,217273,228,123.5,184.0,75,66,141,7,10176,1,1,1,0,1
1f3c08b35f1d3118532b7b56b50d6f77c12a4e6e,3,3,2.0,1691.0,0,18.13675925925926,4,78,e11b9a691382df58f5f07bff8cf84da819e2e242,44,65466,42,42.5,30.0,38,3,41,4,67914,0,0,0,1,0
72a1d77694d51914c0dd6aa97dbfa58634b0a4a5,1,2,2.584962500721156,1533.3333333333333,1,0.3776736111111111,31,278,72a1d77694d51914c0dd6aa97dbfa58634b0a4a5,1,4,1,2.0,1.0,644,338,982,6,37030,1,1,1,1,1
2574243a39d90a2673cf56647c524e268d7f169e,1,1,0.0,116.0,1,0.0009953703703703,1,4,2574243a39d90a2673cf56647c524e268d7f169e,823,548853,1564,541.1666666666667,951.0,4,0,4,1,13941,0,1,1,1,1
272f03ff3b5bf79829f80c2febd004904d64006e,1,1,0.0,116.0,0,0.0312268518518518,2,2,272f03ff3b5bf79829f80c2febd004904d64006e,3,108,3,4.0,1.0,12,0,12,1,63702,0,1,1,1,1
cfbce4351327f0f1a52ac2161dcbf49a0b31dad4,4,7,5.7548875021634665,65.77777777777777,0,0.7916898148148147,1,17,7382a3698c1d7833c2be575d4da907794ce0f52c,161,62729,29,30.0,21.0,2029,797,2826,54,68180,0,0,1,1,0
