fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
6fc478516b489ac5c41939777fa6f13e305dcb6e,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,2,43123
e20747ef9bd206df6d03cc4c2ccb074eadf4a8df,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,3,43123
c5b4fe9e88a9a3b43cfd9b7e5383096bd9e213ef,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,4,43123
ef6754bce52fd12759f9a8c3c09a9003a4e5f49a,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,6,43123
a341f778ae277bf4636c75ceaadf83f203388b26,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,8,43123
a8866ab824ae9697a5c67c6173d6cb889c50a1a3,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,19,43123
4f7380c4d7e773068898a6254d6703440a7c06f7,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,23,43123
56dbec46db99d5ba764714a585fe9ce17ec8dcd8,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,23,43123
036e11c9ee6f70040208d1b139a48ebe9188906b,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,25,43123
036e11c9ee6f70040208d1b139a48ebe9188906b,b4c0661dce3717e244c25244249c3b2bbe026364,0,1,0,0,1,4
036e11c9ee6f70040208d1b139a48ebe9188906b,56dbec46db99d5ba764714a585fe9ce17ec8dcd8,0,0,0,0,2,88
b03f04ff24373a9898b062705a13f7124eba8c16,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,46,43123
071201e84b240859073dcfb941a2f6250e3f30a2,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,53,43123
071201e84b240859073dcfb941a2f6250e3f30a2,d73c2b23e06665c57f4e615e2b5cfe122b98ac4d,1,1,0,0,2,77
a78f752143cc8f54647df4ee0ea4e5e0c31ebd58,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,1,0,0,32,111
a78f752143cc8f54647df4ee0ea4e5e0c31ebd58,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,74,43123
a32276e400785fdeafdfb2685cd8154aa4a7cc38,a52512863e07a70363768a2d5d8da79b869a7fd6,1,0,1,1,33,95
a32276e400785fdeafdfb2685cd8154aa4a7cc38,83b8ad7a312b425f75ba2cc2a5773d6dc2a053f8,0,1,0,0,1,13
c740373b311a2aa43a512f1bf53e1de72635c02a,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,88,43123
4a79a718a35c4384819ef004a4ae5c06c5e97b4d,14f1f8f53a35719291b7533b339fb78eea615a8f,0,1,1,1,5,92
a64faf7bf7edeab22490c617d1c579e6103a5da0,e293f998a163db78cfea0f3b3f121d91807920d0,0,1,1,1,2,3
9965b6b9dda2716e3618e4cb1acbf83ce29e3c2f,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,153,43123
4bb966a7f08953083316ebacdefcd622c5bde99d,259392035daac9cf8d45d909a175e640c496f547,1,1,0,0,29,152
4bb966a7f08953083316ebacdefcd622c5bde99d,007b75f78a1818a020523acb540c381e4d588f60,1,0,1,1,32,154
4bb966a7f08953083316ebacdefcd622c5bde99d,bae6100ae8528fcbc7e6085e4c1d6759824fcb36,1,0,0,0,20,35
6c3c643c8e63f3cd2319e4e1e53a6b8627724062,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,172,43123
1be6c592a64ac8c996763b875a80b17c0193b309,37cde3d864406f2af65dc03eae45a216ea969600,0,1,1,1,1,385
c2ce1d00cded131eefd0ab90f626e4cdb1187ff2,ba6fea1bf5eaab71c0abec7d55824419bcd4f3f4,1,1,1,1,20,897
735a91c9d5cc70a942491a078791f51c44d8db93,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,1,1,1,1,305
fdc6beed1a3aab063752a395a42432251b3443fe,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,1,1,1,4,305
5b723348526464bd806d9d1d0d8e190b7a995f60,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,201,43123
34970fd7853a26e72179e5c97ea28143d00297bc,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,214,43123
792b69ba111f4b976fa298a902a1f049f127d954,c19bf9cffe163dce8bc687e6276c533ea5199808,0,1,1,1,43,215
279792f891cee4d2e5685bc6cb4dee6498a3c9b0,e1535fbd71d8c89c82cd9d9073c1ee97ee6a3b00,1,1,1,1,10,1014
6a41ede2d426cea1cb29103305362383f4d10f4d,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,247,43123
6a41ede2d426cea1cb29103305362383f4d10f4d,4bb966a7f08953083316ebacdefcd622c5bde99d,0,0,0,0,77,39
6a41ede2d426cea1cb29103305362383f4d10f4d,007b75f78a1818a020523acb540c381e4d588f60,1,0,0,0,109,154
6a41ede2d426cea1cb29103305362383f4d10f4d,4b81de93d3733ecc5d4dcaab7efad2a5eef1937d,1,0,0,0,107,86
6a41ede2d426cea1cb29103305362383f4d10f4d,7e7579e1bafcbee07751562abc7ae64386978cff,0,0,0,0,73,29
6a41ede2d426cea1cb29103305362383f4d10f4d,e1fe13d0cbb6063594a0b9dc712a8ee6006bb2e3,1,1,0,0,36,183
6a41ede2d426cea1cb29103305362383f4d10f4d,259392035daac9cf8d45d909a175e640c496f547,1,0,0,0,106,152
6a41ede2d426cea1cb29103305362383f4d10f4d,b581c8cfc784b74e74af80307a799cb4437f7845,1,0,0,0,104,77
2383fd8813a83b27f7bc895d19146952cc32c62b,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,67,5
4a0456fb8e41e54d9c6ebf4ff0d7f942d7aa27f9,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,254,43123
315645804133e190e23be954787f5d64144d33d5,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,256,43123
315645804133e190e23be954787f5d64144d33d5,007b75f78a1818a020523acb540c381e4d588f60,1,0,0,0,118,154
315645804133e190e23be954787f5d64144d33d5,37cde3d864406f2af65dc03eae45a216ea969600,0,0,0,0,81,385
315645804133e190e23be954787f5d64144d33d5,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,0,0,9,260
315645804133e190e23be954787f5d64144d33d5,88e90d5601aa29e606ed2c2e248f34df46ecad6f,0,0,0,0,12,1634
a0475b3c292790a666ee69dfb416ba0e5b66be07,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,1,1,1,254,43123
ea5e13893e320f640c2061ce8e09729d44ad23a9,fad7d58fc9ef8da03acc6f4d1a11a2844f4cd2ce,0,1,1,1,28,24
3266818b42fbb035ea8d9b48c8a97da5f3e9d756,191c0dec32ee22ec833c2afc0107058f66982a0f,0,1,1,1,6,217
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,75897c2dcd1dd3a6ca46284dd37e13d22b4b16b4,0,0,1,1,281,43123
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,0,2,412
14102e8a4851119afe66866735d63d7901ab470f,11a7cb5b734a1c28cce399fc8a56dbe43c7ce371,1,0,1,0,134,43
14102e8a4851119afe66866735d63d7901ab470f,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,1,6,412
14102e8a4851119afe66866735d63d7901ab470f,aea8e16b4a32d179e70089edde6f1892968cf2b8,1,0,0,0,78,33
