fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code
036e11c9ee6f70040208d1b139a48ebe9188906b,56dbec46db99d5ba764714a585fe9ce17ec8dcd8,0,0,1,1,2,88
036e11c9ee6f70040208d1b139a48ebe9188906b,b4c0661dce3717e244c25244249c3b2bbe026364,0,1,0,0,1,4
071201e84b240859073dcfb941a2f6250e3f30a2,d73c2b23e06665c57f4e615e2b5cfe122b98ac4d,1,1,1,1,2,77
a78f752143cc8f54647df4ee0ea4e5e0c31ebd58,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,1,1,1,32,111
a32276e400785fdeafdfb2685cd8154aa4a7cc38,83b8ad7a312b425f75ba2cc2a5773d6dc2a053f8,0,1,0,0,1,13
a32276e400785fdeafdfb2685cd8154aa4a7cc38,a52512863e07a70363768a2d5d8da79b869a7fd6,1,0,1,1,33,95
4a79a718a35c4384819ef004a4ae5c06c5e97b4d,14f1f8f53a35719291b7533b339fb78eea615a8f,0,1,1,1,5,92
a64faf7bf7edeab22490c617d1c579e6103a5da0,e293f998a163db78cfea0f3b3f121d91807920d0,0,1,1,1,2,3
4bb966a7f08953083316ebacdefcd622c5bde99d,259392035daac9cf8d45d909a175e640c496f547,1,1,0,0,29,152
4bb966a7f08953083316ebacdefcd622c5bde99d,bae6100ae8528fcbc7e6085e4c1d6759824fcb36,1,0,0,0,20,35
4bb966a7f08953083316ebacdefcd622c5bde99d,007b75f78a1818a020523acb540c381e4d588f60,1,0,1,1,32,154
735a91c9d5cc70a942491a078791f51c44d8db93,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,1,1,1,1,305
fdc6beed1a3aab063752a395a42432251b3443fe,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,1,1,1,4,305
792b69ba111f4b976fa298a902a1f049f127d954,c19bf9cffe163dce8bc687e6276c533ea5199808,0,1,1,1,43,215
279792f891cee4d2e5685bc6cb4dee6498a3c9b0,e1535fbd71d8c89c82cd9d9073c1ee97ee6a3b00,1,1,1,1,10,1014
6a41ede2d426cea1cb29103305362383f4d10f4d,007b75f78a1818a020523acb540c381e4d588f60,1,0,1,0,109,154
6a41ede2d426cea1cb29103305362383f4d10f4d,4bb966a7f08953083316ebacdefcd622c5bde99d,0,0,0,0,77,39
6a41ede2d426cea1cb29103305362383f4d10f4d,7e7579e1bafcbee07751562abc7ae64386978cff,0,0,0,0,73,29
6a41ede2d426cea1cb29103305362383f4d10f4d,e1fe13d0cbb6063594a0b9dc712a8ee6006bb2e3,1,1,0,1,36,183
6a41ede2d426cea1cb29103305362383f4d10f4d,4b81de93d3733ecc5d4dcaab7efad2a5eef1937d,1,0,0,0,107,86
6a41ede2d426cea1cb29103305362383f4d10f4d,259392035daac9cf8d45d909a175e640c496f547,1,0,0,0,106,152
6a41ede2d426cea1cb29103305362383f4d10f4d,b581c8cfc784b74e74af80307a799cb4437f7845,1,0,0,0,104,77
2383fd8813a83b27f7bc895d19146952cc32c62b,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,67,5
315645804133e190e23be954787f5d64144d33d5,88e90d5601aa29e606ed2c2e248f34df46ecad6f,0,0,0,1,12,1634
315645804133e190e23be954787f5d64144d33d5,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,0,0,9,260
315645804133e190e23be954787f5d64144d33d5,37cde3d864406f2af65dc03eae45a216ea969600,0,0,0,0,81,385
315645804133e190e23be954787f5d64144d33d5,007b75f78a1818a020523acb540c381e4d588f60,1,0,1,0,118,154
ea5e13893e320f640c2061ce8e09729d44ad23a9,fad7d58fc9ef8da03acc6f4d1a11a2844f4cd2ce,0,1,1,1,28,24
3266818b42fbb035ea8d9b48c8a97da5f3e9d756,191c0dec32ee22ec833c2afc0107058f66982a0f,0,1,1,1,6,217
a61f4df0b9b23250a5a59285aad82cf7d82a19b8,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,1,1,2,412
14102e8a4851119afe66866735d63d7901ab470f,11a7cb5b734a1c28cce399fc8a56dbe43c7ce371,1,0,1,0,134,43
14102e8a4851119afe66866735d63d7901ab470f,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,0,1,6,412
14102e8a4851119afe66866735d63d7901ab470f,aea8e16b4a32d179e70089edde6f1892968cf2b8,1,0,0,0,78,33
cf926338bf64da66ccf44e1ad8f0cbf8cf83a924,c19bf9cffe163dce8bc687e6276c533ea5199808,0,1,1,1,126,215
dbd9d99bcd01849b737f608a8862c4300cbae217,3373572e15c00b2dab9f005a85bb420fae107b2b,0,1,1,1,38,173
c54900f63e3841c571e637b364efd53f9af3c9c9,6a41ede2d426cea1cb29103305362383f4d10f4d,0,1,1,1,72,260
738de8cfa846936ae754ccfda607e4fb41c2170b,65568814179d2a28cc83d68a5e467c24b86da2f6,0,1,1,1,13,68
e748be32da843211e68e60e3ec247bbfeef1d33a,15360056bdb9299b027740ecf2f96091f0a847cc,0,1,1,1,161,5
c692d9e84421447b65fd23d31ac16b81fa055005,6b572b3f253d26fc1d9edf33e3e7327e9fde4f29,0,0,0,0,188,219
c692d9e84421447b65fd23d31ac16b81fa055005,c19bf9cffe163dce8bc687e6276c533ea5199808,0,0,1,0,190,215
c692d9e84421447b65fd23d31ac16b81fa055005,9ceaff73183837387835f9e96c80e58fc4aea34c,0,1,0,1,60,251
067fe27699cf3754cdf4aaf067ff67fa4fdf04c5,c9ecbaccb365ba39bd8839f61ae245cdc295317b,0,1,1,1,116,412
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,4fccaa514b73f02ee780b251488aa79d0d606b6a,0,1,1,0,8,29
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,11,539
204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,6,251
d0c431a2a363057d9779ae12fa66d47189424e64,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,1,1,1,13,539
d0c431a2a363057d9779ae12fa66d47189424e64,126a7f5c110cf38d54a41d9c387cd975fc3a9e37,0,0,0,0,12,4
33abe80b594f3ae85ea95815fbcd486fd085ad07,151997b1e1ab28c39f2ef7c05d0d705c4a418df4,0,1,1,1,24,19
e9e89345778d9a1a0f4dcbe2f2ff2d97c0651562,0e585d81026edb51b403e709c9b6519cfd9493b1,0,1,1,1,2,14
83a840656cecf00f299804bb538639dd2bb5f8e2,c1886c651365e1db415a9efd2d4e621eea20cf32,0,1,1,1,133,27
03578e66b5d3f0a0a8d90c90f18bd8ab1e3bdc4c,917e101c2c687387ebb50d79948094fd2ead2644,0,1,1,1,41,43
fd3d16d37986eef69dbaa1073b36b2e1c2bf22f1,d9e99d468851a5e0c23c8d205bd953ee67819231,0,1,1,1,79,659
9694a0f7eaf7c105c44e2b3beb1578986f36a143,1c51cc34cd58b2f3b838cca57aebf3a9d3b4d525,0,0,0,0,16,7
9694a0f7eaf7c105c44e2b3beb1578986f36a143,151997b1e1ab28c39f2ef7c05d0d705c4a418df4,0,0,0,0,32,19
9694a0f7eaf7c105c44e2b3beb1578986f36a143,21ea1ac61e087fe5d6d273f7e129cd5287b134c1,0,0,0,0,21,33
9694a0f7eaf7c105c44e2b3beb1578986f36a143,204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0,0,0,0,14,10
9694a0f7eaf7c105c44e2b3beb1578986f36a143,462e450bb334e27a634bb3667fb4466dd4708338,0,0,0,0,39,138
9694a0f7eaf7c105c44e2b3beb1578986f36a143,d294a7f30f684d6f4e928529c839767ca6b1aa72,0,0,0,0,27,87
9694a0f7eaf7c105c44e2b3beb1578986f36a143,67d9891926417dba53bf1641a0b2ac4b42f3d768,0,0,0,0,35,378
9694a0f7eaf7c105c44e2b3beb1578986f36a143,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,25,539
9694a0f7eaf7c105c44e2b3beb1578986f36a143,ab7ef4ed3b9a65b5eff2a6be0934ef3f3cab00f6,0,0,0,0,13,3
9694a0f7eaf7c105c44e2b3beb1578986f36a143,e9e89345778d9a1a0f4dcbe2f2ff2d97c0651562,0,1,0,0,2,5
9694a0f7eaf7c105c44e2b3beb1578986f36a143,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,20,251
9694a0f7eaf7c105c44e2b3beb1578986f36a143,33abe80b594f3ae85ea95815fbcd486fd085ad07,0,0,0,0,8,2
9694a0f7eaf7c105c44e2b3beb1578986f36a143,4fccaa514b73f02ee780b251488aa79d0d606b6a,0,0,0,0,22,29
9694a0f7eaf7c105c44e2b3beb1578986f36a143,13ad0c500b0b4d28843c9b39d939b4b891513514,0,0,0,0,23,10
9694a0f7eaf7c105c44e2b3beb1578986f36a143,faa84b5b852e73f446b95ed0c5b9f0a8d5a410d0,0,0,0,0,29,11
9694a0f7eaf7c105c44e2b3beb1578986f36a143,071201e84b240859073dcfb941a2f6250e3f30a2,1,0,1,0,395,8
9694a0f7eaf7c105c44e2b3beb1578986f36a143,445a0dac37be59dba3d9c5190d1cc9ff8a85f479,0,0,0,0,7,111
b343fcaba34949c6c5ef530305dd186aa1a1f02a,526099c92844660ad0fc85712d989670313cfce1,0,1,1,1,1,4
156dffb961ab15f577e0a6aab1abc5efd68f9a9b,204edb4a2703d6ba58c13ab0e8cd6fe160dad14b,0,0,1,0,65,10
156dffb961ab15f577e0a6aab1abc5efd68f9a9b,c222f57b0029c3a5b2935a08805fbe122465768e,0,1,0,1,32,46
b837bb7bdd2f4d66531766e0a660a9a10314f12e,6ba6fc149a71c4cdcc8e7c98c64d8d8ef1771108,0,1,1,1,43,26
96bd63cc4bc36791aa6b7fc4559e5c5e9e00bab7,09fbf8e0caa60ab737db0941addd75357088c4c3,0,1,1,1,6,40
dd14fdfdc57d9a0dd9eeb10d83daacce77a2aaa3,81f3a5c6cd354996f435cd21c7b973c45146091e,0,1,1,1,297,55
e379f8ec03c9b350937ef78331c0e1a0f5364838,dd14fdfdc57d9a0dd9eeb10d83daacce77a2aaa3,0,1,0,0,87,4
e379f8ec03c9b350937ef78331c0e1a0f5364838,e20747ef9bd206df6d03cc4c2ccb074eadf4a8df,0,0,1,0,519,28
e379f8ec03c9b350937ef78331c0e1a0f5364838,81f3a5c6cd354996f435cd21c7b973c45146091e,0,0,0,1,384,55
bf275a909748a1e64ff06934ce0b6f8f285b86f7,d294a7f30f684d6f4e928529c839767ca6b1aa72,0,1,1,1,111,87
222faf4544731b725c4fcbe1b416b89286275601,94573545f3ece778f9c52686fb1b53f19e43dc48,0,1,1,1,18,41
64d72f8c4b1054c97393124d85681f0e168064fa,0de35588c1a3ae45ba13d50d2b96533e5b0595af,0,0,0,0,113,251
64d72f8c4b1054c97393124d85681f0e168064fa,b4f096364f6a2d2a45bb3d220e507a791fd2d9dd,1,0,1,0,241,91
64d72f8c4b1054c97393124d85681f0e168064fa,f2b92d4c7bd7a71ec1118696c119bac22d4b836c,0,1,0,0,76,29
64d72f8c4b1054c97393124d85681f0e168064fa,bb3bd76fe90cc02027cf9b863bcc9bc0a86ca37e,0,0,0,1,118,539
4deb0d619c06e8f0d30f972a6412d65f19b7f921,fb6381fb35c8af868b5134c3d7a91699a7d01090,0,1,1,1,258,265
7f8b2885d9f9feb396896f7d9d6086ac7731cf36,0c1f2720b38acf1b8968eac46ab887add37ee253,0,1,1,1,42,58
ddb0ef98f7986cf27f767348c7e181d991acb4ec,9694a0f7eaf7c105c44e2b3beb1578986f36a143,0,1,1,1,112,218
d5e970b93fc0e5ab9d284c265b170eecee2ad0ad,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,1,1,6,1118
6f2848f4a6027daf9ba77e2f7f62a563fd96cf1a,8c37499af82e57f0487319abca2242cbad4024b8,0,1,1,1,499,72
5ef3c1b09b486d711b556655c28b93e207a90399,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,1,1,1,14,1118
d542621155fff0ef5d59a4e5bb373ff7e7754d3b,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,150,372
25e2cd0db6673f0ae80534b983b57a8cde1a0be4,ed54fff2046fe6093078f625280725fcb19b9b33,0,1,1,1,181,210
5fae286cf448359d5a826acf7449ddc9edbad948,60099341766faf7dd9409f1f660b8edb974a8b0e,0,1,1,1,172,372
a558e560bd98446a4876e2feefe640c7cbde1681,2246f530af5436ed15f4024389f847c48096ea82,0,0,0,0,248,58
a558e560bd98446a4876e2feefe640c7cbde1681,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,0,1,0,578,111
a558e560bd98446a4876e2feefe640c7cbde1681,05341fb3b3492194140c7ad77fca96a6f6ad74da,0,1,0,1,208,157
cbe86e04b3fdfee584f538e399b91863bd6c0feb,b9b300fcbd9b07a98486ba27827af662f99106b0,0,1,1,1,163,24
744b54a829f4b66e77ecf6e8f7894a6ab7863011,21ea1ac61e087fe5d6d273f7e129cd5287b134c1,0,0,1,0,208,33
744b54a829f4b66e77ecf6e8f7894a6ab7863011,3be6083ea4da2765d647ef3a18b08fc13c8e6766,0,1,0,1,185,86
406dcbd8daa8bf6e17348006c938168ab6c08e53,0db4077c3ac7c914c30169cce6ab7ddfb8aec3c9,0,1,0,0,12,183
406dcbd8daa8bf6e17348006c938168ab6c08e53,d9e99d468851a5e0c23c8d205bd953ee67819231,0,0,0,0,303,659
406dcbd8daa8bf6e17348006c938168ab6c08e53,e1535fbd71d8c89c82cd9d9073c1ee97ee6a3b00,1,0,1,1,447,1014
dea0cc01cf92af4ee7966130f1a6d01203655442,adffa9b0f4128ca4832ddd03fdeca2c9fe434689,0,0,1,1,89,1118
dea0cc01cf92af4ee7966130f1a6d01203655442,808e625d9d74fb533ba8445e5d79c18b4fc3fb65,0,1,0,0,73,350
9dd8ef4777957138ace4c9728d15283e2c2d85e8,15f84a391d9506774db069bccb1f89ebf8987d1a,0,1,1,1,1,29
b56b5885d01c14041a5281fd60a46207b1b680dd,37cde3d864406f2af65dc03eae45a216ea969600,0,0,1,1,495,385
b56b5885d01c14041a5281fd60a46207b1b680dd,75aee1714b60b8b43ebaebf9bffe5af43ff90cde,0,1,0,0,24,3
78d305eb167af7f5446c5d4812a160946f493234,0c1f2720b38acf1b8968eac46ab887add37ee253,0,1,0,0,157,58
78d305eb167af7f5446c5d4812a160946f493234,c7d2760521066f07afb36d9e1053bb44e9da8a71,0,0,0,0,643,30
78d305eb167af7f5446c5d4812a160946f493234,a52512863e07a70363768a2d5d8da79b869a7fd6,1,0,0,0,623,95
78d305eb167af7f5446c5d4812a160946f493234,036e11c9ee6f70040208d1b139a48ebe9188906b,0,0,0,1,645,278
78d305eb167af7f5446c5d4812a160946f493234,56dbec46db99d5ba764714a585fe9ce17ec8dcd8,0,0,1,0,647,88
e010a2d90beb44b7d6751098eed512b61d3a42f2,80f1590265e2c721707aef471cca995c4a7567a8,0,1,1,1,24,779
3bbd966a829b10285fbf9548b280f05ca2a45543,b56b5885d01c14041a5281fd60a46207b1b680dd,1,1,1,1,21,111
cd019871e3b492ad32d9a3ac11973100687b06b7,1b747c526c501bc167a02f4dd7cfc8cee34f870f,0,0,0,0,96,6
cd019871e3b492ad32d9a3ac11973100687b06b7,898621d0a1d4ca36f56f728bce54f370790a9ce0,0,1,0,0,82,35
cd019871e3b492ad32d9a3ac11973100687b06b7,55176116a225c7664d082580faa6dde12a3bb00e,0,0,1,1,359,386
cd019871e3b492ad32d9a3ac11973100687b06b7,eee3980749c13f8f80ed7cf839b325a2d56ffad4,0,0,0,0,287,12
fea4fec0bc3cd72b57cc65e75ef6ba2131cdedcb,c8886a0424c426818566c21d5a69c4cb8f5d41e3,1,1,1,1,25,613
58fae896fe60647b537e20e7f2281e0c377d59f0,647731e399fc824c02fdf851d91ce4477958e7fe,0,1,1,1,7,47
e5ba82a44b2f3badf29312c47a7bb80e978d4e46,bdf2a9bb124b8fc34120949b322202497741f239,0,1,1,1,151,368
d262285827d244a058319e9607f63c9e74e9fbb0,09fbf8e0caa60ab737db0941addd75357088c4c3,0,1,0,1,221,40
d262285827d244a058319e9607f63c9e74e9fbb0,f2b92d4c7bd7a71ec1118696c119bac22d4b836c,0,0,1,0,267,29
d13ce702a8346b72bf6461cb1da52d08d39a2d4a,d262285827d244a058319e9607f63c9e74e9fbb0,0,1,1,1,1,4
458836abd3e74fce7addfef3749391176cc72085,5d7633d74cc79d6bb6498c9dd57d62b6718648e2,0,1,1,1,1,240
fc0b68af287e7c26a377e866ee83617aa1a8b3d5,364d6029b6e095eeee31525c291b0181d0a78f1a,0,1,1,1,30,910
84dea7e971adecbc9c5a06f6500fffb84065d943,8f15eea910c097893c7bdc24725cf7ceff93cf32,0,1,1,1,10,435
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,fc73bf0a0abf739a9a8e6b1a5197dab113e76f27,0,1,0,0,8,360
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,8f15eea910c097893c7bdc24725cf7ceff93cf32,0,0,0,1,11,435
94d2bbb2214f3d88ac6cc1b1c48a59b377222727,cd019871e3b492ad32d9a3ac11973100687b06b7,0,0,1,0,53,61
3ca507d73ffc07087ed4e95e010a101298f78146,5ef3c1b09b486d711b556655c28b93e207a90399,0,1,0,0,161,114
3ca507d73ffc07087ed4e95e010a101298f78146,705ce56694823fcfdc5075e6a0e5f1350725c1fd,0,0,1,0,564,305
