fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,la,ld,lt,ns,nd,nf,entropy,fix,ndev,age,nuc,exp,rexp,sexp
036e11c9ee6f70040208d1b139a48ebe9188906b,56dbec46db99d5ba764714a585fe9ce17ec8dcd8,0,0,1,1,2,88,36.0,52.0,254.0,1.0,1.0,1.0,0.0,1.0,1.0,0.617755,0.0,4.0,3.99592,0.0
036e11c9ee6f70040208d1b139a48ebe9188906b,b4c0661dce3717e244c25244249c3b2bbe026364,0,1,0,0,1,4,1.0,3.0,238.0,1.0,1.0,1.0,0.0,0.0,2.0,0.00204861,1.0,5.0,4.99589,1.0
071201e84b240859073dcfb941a2f6250e3f30a2,d73c2b23e06665c57f4e615e2b5cfe122b98ac4d,1,1,1,1,2,77,70.0,7.0,46.75,1.0,3.0,4.0,0.139811,0.0,4.0,0.568414,1.0,12.0,11.9836,5.0
a78f752143cc8f54647df4ee0ea4e5e0c31ebd58,955b472f8bd56c947f146b8b3d20b905fbc8b413,1,1,1,1,32,111,100.0,11.0,132.714,1.0,5.0,7.0,0.667237,0.0,4.0,0.235033,0.714286,2.0,1.9956,2.0
a32276e400785fdeafdfb2685cd8154aa4a7cc38,83b8ad7a312b425f75ba2cc2a5773d6dc2a053f8,0,1,0,0,1,13,12.0,1.0,235.0,1.0,1.0,1.0,0.0,0.0,3.0,3.28589,2.0,19.0,18.8124,8.0
a32276e400785fdeafdfb2685cd8154aa4a7cc38,a52512863e07a70363768a2d5d8da79b869a7fd6,1,0,1,1,33,95,49.0,46.0,301.667,1.0,3.0,3.0,0.219419,0.0,2.0,0.644784,2.0,11.0,10.9868,6.0
4a79a718a35c4384819ef004a4ae5c06c5e97b4d,14f1f8f53a35719291b7533b339fb78eea615a8f,0,1,1,1,5,92,36.0,56.0,108.0,1.0,1.0,1.0,0.0,0.0,4.0,0.462535,9.0,15.0,14.8732,0.0
a64faf7bf7edeab22490c617d1c579e6103a5da0,e293f998a163db78cfea0f3b3f121d91807920d0,0,1,1,1,2,3,3.0,0.0,89.0,1.0,1.0,1.0,0.0,0.0,5.0,0.162639,11.0,17.0,16.8655,1.0
4bb966a7f08953083316ebacdefcd622c5bde99d,259392035daac9cf8d45d909a175e640c496f547,1,1,0,0,29,152,152.0,0.0,0.0,1.0,2.0,2.0,0.367438,0.0,0.0,0.0,0.0,3.0,3.0,3.0
4bb966a7f08953083316ebacdefcd622c5bde99d,bae6100ae8528fcbc7e6085e4c1d6759824fcb36,1,0,0,0,20,35,19.0,16.0,154.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0255093,2.0,12.0,11.9994,12.0
