fix_commit_hash,inducing_commit_hash,is_Friday,is_latest_bic,is_earliest_bic,is_largest_mod,candidate_commit_to_fix,lines_of_modified_code,project,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
6d6308f6774b4c684de7f3aab12cb752c59d5e2f,13aca847695f49afeb93367ecdad76035fa6c139,0,1,1,1,2530,397,systemd,1,1,4,0.223073,1070,778.966,812,33,-8.09942,69.0,0,203,194,206.25
a289dfd69b3ff4bccdde93e84b67c947bafa27e1,7fdb237f5473cb8fc2129e57e8a0039526dcb4fd,0,1,1,1,923,34,systemd,1,1,1,0.0,4796,1796.18,3021,4,10.8617,12.0,1,24,10,1141.0
e37d30f334830fab4decd52ef3c17fa09b7b0d92,535610b5615f8f7b82b715f1163111696295ada6,0,0,1,0,19858,39,systemd,1,1,1,0.0,12831,3570.1,8593,17,0.00572917,58.0,0,23,16,2220.0
e37d30f334830fab4decd52ef3c17fa09b7b0d92,258f0970f96d44057cd456bb3b9fb2c9114030f2,0,1,0,1,6362,171,systemd,1,1,9,0.272979,176,122.218,61,31,30.7619,15.6667,0,70,101,476.667
24072d36bcf6bb4bc84a2e1bbe0b3331c50c545a,cafc7f91306ea17ace4a6c3d76d81c8780c87452,0,1,1,1,336,57,systemd,2,2,4,0.433285,164,127.965,168,116,-308.65,414.5,0,57,0,1585.0
a8cabc612b16834260831a8163ae4b479b5c33a5,6c47cd7d3bf35c8158a0737f34fe2c5dc95e72d6,0,1,1,1,129,308,systemd,1,2,4,0.0829463,11284,3016.62,7554,64,139.597,156.0,0,297,11,1500.0
3f856a2813359ad8203ccad388e54ff41a9ecaf1,cffaed83e87bde81378b2be74192193850d0e03a,0,1,1,1,756,731,systemd,1,2,2,0.667664,77,60.3848,53,30,18.6282,86.5,0,717,14,1730.0
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,e963e3ada17e7592ad499b9d7fbb3355287a05ca,0,0,1,1,19634,1516,systemd,2,3,6,0.107668,17,10.4291,19,106,0.662795,261.167,0,1516,0,876.167
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,93f1bcf40030a9e98bf2b71c177cbea36c64d5c9,0,0,0,0,18353,960,systemd,2,5,7,0.197408,5856,2311.97,6345,120,39.362,265.0,0,554,406,1513.71
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,1a96c8e1ccb06f87b6bfaff4639390ecd00af588,0,1,0,0,2525,46,systemd,1,1,1,0.0,3518,1337.88,2293,9,8.90666,48.0,0,29,17,1244.0
0b45ff5278f0aa5770f661969fcb850e12f9ecf9,968d3d242cc9256eaca9a18155a744b575159cbd,0,0,0,0,19484,1207,systemd,2,4,6,0.104091,5432,2190.45,5929,69,9.43062,348.333,0,665,542,1389.83
d4a95a952e47d6ab959694114eccc838a0b31529,eb1f9e30ec603ab34631cc3adba1def49485b505,0,1,1,1,42,151,systemd,1,1,2,0.0705275,1390,1000.03,1082,37,0.100972,231.0,0,106,45,466.5
d253a45e1c147f5174265d71d7419da7bd52a88b,ec88d1ea0591beccab97d9096fd3fd7b09bc823c,0,1,1,1,521,74,systemd,1,1,2,0.267246,13943,4031.7,9381,51,84.537,229.5,1,33,41,1068.0
7bb55ed099f611ec7077db69684a6cb93d42dc70,c4f58deab56282cd438922203287cb073b861513,1,1,0,0,67,151,systemd,1,5,13,0.705092,2237,1495.11,1722,80,25.1271,58.8462,0,47,104,435.846
7bb55ed099f611ec7077db69684a6cb93d42dc70,b77c08e06b67d5b1dd8aaf67b732e93851d8ae43,1,0,1,1,24929,580,systemd,2,3,5,0.249332,332,245.597,361,112,47.9954,322.2,0,324,256,1098.6
86a3d44de5326fd4d714e90bf9012360f1d028a2,e5719363f54c8c45233ded86b5b18feb36b601f7,0,0,1,1,8025,1425,systemd,2,6,14,0.207068,1,0.999993,1,35,4.07993,25.4286,0,1309,116,316.786
86a3d44de5326fd4d714e90bf9012360f1d028a2,f1368a333e5e08575f0b45dfe41e936b106a8627,0,0,0,0,611,389,systemd,1,1,2,0.106027,2173,1453.83,1665,5,66.6637,13.5,0,225,164,424.0
86a3d44de5326fd4d714e90bf9012360f1d028a2,583eb170f0b09d5f83a9a5d2a1924773077f6c5d,0,0,0,0,609,7,systemd,1,1,1,0.0,2201,1470.83,1692,5,2.93769,25.0,0,4,3,837.0
86a3d44de5326fd4d714e90bf9012360f1d028a2,6ef5c881dd5568f08dc35013e24f7d857f36b207,0,1,0,0,41,18,systemd,1,1,1,0.0,2346,1516.3,1786,5,2.38838,35.0,0,12,6,925.0
