project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor,0000c7e6e947beedac65285150a73314773f4e6a,1,1,1,0,4366,1487.14,2850,3,39.0394,93,0,3,1,1948
tor,000a717c2d35b14b30b550ec06a5eeb04ec4c0d8,1,1,2,0.251463,21,19.8181,15,1,0.00186343,3.5,0,5,1,20
tor,000b4f5cbf80b5cd23b9e03a9a74a6e028321391,1,1,1,0,8,7.92601,3,0,0,0,0,3,0,0
tor,000b7b287c770ce4b7a88eaae5f87601d61faf4a,1,2,3,0.167141,2279,1011.87,1814,6,0.286354,232,1,13,19,1919.33
tor,000de2f2ac4f740be8351673691371d78a5da7e9,0,0,0,0,15813,4046.23,0,0,0,0,0,0,0,0
tor,00108b75d4c0f02a7fa5aba240e4b60f79bf4d1d,0,0,0,0,578,244.354,0,0,0,0,0,0,0,0
tor,0010b8064ee5bf22dae4e180fbf857548684602b,1,1,1,0,11015,2612.17,6953,15,42.152,63,1,0,2,187
tor,00118355f5e6f94352de62f5bb10005cda6f238e,3,3,4,0.58085,6281,482.697,5652,79,139.342,276.5,0,14,4,2171
tor,00120544a4bfa9c26d2c8a336389d33b8b3642c2,1,1,2,1,5812,1003.21,3632,15,5.18085,633.5,1,2,2,3341.5
tor,00136c9430c60edcd8a4e0d725ed711e03c7c607,1,3,4,0.265365,862,387.63,682,33,68.409,203.75,0,60,37,1347.75
tor,0015d0084262ddc60098b15d6cdf30ea66d59a53,1,1,1,0,16912,4321.64,9663,9,80.5715,104,0,1,8,658
tor,001a0454f5a53c5c74c8e51bea7f46d5ec0ab79b,1,1,1,0,19468,3674.71,2309,19,0.00809028,2283,0,1,1,37308
tor,001cd08b2eeef9ac43b63fb1e69b4947eca85b21,1,1,1,0,123,96.0824,111,2,0.0746991,7,1,15,2,442
tor,001e2ac918a0cbab7d283e82d7b01c703874ae7b,1,1,1,0,4728,1500.29,775,6,0.143646,1078,0,20,18,6561
tor,00257212c7a9e0e7c2504b7ccdd36727d4fc362f,3,3,3,0.491133,3772,1499.79,3866,5,0.0121528,414.667,0,8,6,1920.33
tor,0025a9796047d306953d1ae63d4ee82cbf24ff1c,1,1,1,0,4620,1552.25,1222,5,3.38428,910,0,9,5,691
tor,0026d1a673e8b01057b0735c977a55995812c85e,3,3,3,1,15041,3803.46,11057,49,0.000416667,411,0,3,3,908.667
tor,00296adcc04b5c2e554fa0f196136615f827cca5,1,1,1,0,263,151.825,3,2,0.0270833,74,0,1,1,207
