project,commit_id,ns,nd,nf,entropy,exp,rexp,sexp,ndev,age,nuc,fix,la,ld,lt
tor_1,0000c7e6e947beedac65285150a73314773f4e6a,1,1,1,0,4725,1635.52,601,3,39.0394,93,0,3,1,1948
tor_1,00039c22acb3e8eab8689bc6a560eac790ea12ac,1,1,1,0,3290,1612.05,3099,4,0.049294,0,0,9,9,288
tor_1,000b4f5cbf80b5cd23b9e03a9a74a6e028321391,1,1,1,0,8,7.92601,3,0,0,0,0,3,0,0
tor_1,000b7b287c770ce4b7a88eaae5f87601d61faf4a,1,2,3,0.167141,2394,1063.94,96,6,0.286354,232,1,13,19,1919.33
tor_1,000db016b2023e57d429d8532c4b2d8aa5afb008,1,1,1,0,1385,893.111,1372,2,0.208738,0,0,4,3,1234
tor_1,000de2f2ac4f740be8351673691371d78a5da7e9,0,0,0,0,17078,4451.83,0,0,0,0,0,0,0,0
tor_1,00108b75d4c0f02a7fa5aba240e4b60f79bf4d1d,0,0,0,0,584,249.442,0,0,0,0,0,0,0,0
tor_1,0010b8064ee5bf22dae4e180fbf857548684602b,1,1,1,0,11595,2743.75,5440,15,42.152,63,1,0,2,187
tor_1,00118355f5e6f94352de62f5bb10005cda6f238e,3,3,4,0.58085,7202,572.641,2858,79,139.342,276.25,0,14,4,2171
tor_1,001188be2e1c7a304547c4a44b06877370df411d,1,1,1,0,1001,684.179,990,3,0.0821296,0,0,3,1,307
tor_1,00120544a4bfa9c26d2c8a336389d33b8b3642c2,1,1,2,1,6547,1208.85,1485,15,5.18085,633,1,2,2,3341.5
tor_1,00136c9430c60edcd8a4e0d725ed711e03c7c607,1,3,4,0.265365,872,393.466,682,33,68.409,203,0,60,37,1347.75
tor_1,00155f1bcc96240f0555eb61a83a365946ad737d,1,1,1,0,484,360.171,484,5,0.112662,0,0,44,38,1945
tor_1,0015d0084262ddc60098b15d6cdf30ea66d59a53,1,1,1,0,18253,4724.1,8154,9,80.5715,103,0,1,8,658
